cosit,name,description,city,county,lat,lng,node,directionality,speedLimit
000000010183,001-0183,SR169 btwn Wayne Co Line & SR 121,Baxley,Appling,31.83156,-82.08647,GDOT_CCS,N,24587.0
000000010185,001-0185,Red Oak Rd btwn SR203 & Cameron Rd,Baxley,Appling,31.60285,-82.30816,GDOT_CCS,N,20117.0
000000030132,003-0132,"US-82/SR-520 W of US-221,441 (WIM-0FF CV ONLY)",Pearson,Atkinson,31.30711,-82.90154,GDOT_CCS,E,24587.0
000000030138,003-0138,"US-82/SR520 E of US-221/SR31,89 Atkinson Co.",Pearson,Atkinson,31.29545,-82.83771,GDOT_CCS,E,24587.0
000000050125,005-0125,"US-1/SR4, 4 mi N of Alma Bacon Co.",Alma,Bacon,31.60861,-82.46186,GDOT_CCS,N,24587.0
000000090156,009-0156,"SR22 W of SR24, Milledgeville",Milledgeville,Baldwin,33.08699,-83.17217,GDOT_CCS,E,20117.0
000000110103,011-0103,US-441/SR15 N of I-85 Banks Co.,Commerce,Banks,34.27933,-83.4653,GDOT_CCS,N,24587.0
000000130036,013-0036,Atlanta Hwy E of Giles Rd Barrow Co.,Winder,Barrow,33.977506,-83.653307,GDOT_CCS,E,20117.0
000000150118,015-0118,"US-41/SR-3 E of Grassdale Rd, Cartrsvle",Cartersville,Bartow,34.20436,-84.81052,GDOT_CCS,N,20117.0
000000150178,015-0178,"SR61 N of SR20, Cartersville",Cartersville,Bartow,34.21478,-84.79405,GDOT_CCS,N,17882.0
000000150276,015-0276,I-75 N of SR 20 Bartow Co. (4/6L-QLQ),Cartersville,Bartow,34.221408,-84.752186,GDOT_CCS,N,31293.0
000000170143,017-0143,"SR 11 N of SR 11SO @Bush Ave, Fitzgerald",Fitzgerald,Ben Hill,31.72888,-83.24709,GDOT_CCS,N,20117.0
000000210116,021-0116,US-80/SR22 W of I-475,Lizella,Bibb,32.806364,-83.840971,GDOT_CCS,E,24587.0
000000210132,021-0132,US-80/SR22 W of Bloomfield Rd,Macon,Bibb,32.81605,-83.70278,GDOT_CCS,E,20117.0
000000210158,021-0158,"SR11,SR49 N Of US-129, Rutland, Bibb Co.(camera)",Macon,Bibb,32.73613,-83.65584,GDOT_CCS,N,24587.0
000000210198,021-0198,"SR74/Mercer Univ Dr W of I-75 & Edna Pl Rd, Macon",Macon,Bibb,32.8205,-83.6917,GDOT_CCS,E,
000000210258,021-0258,US-129/SR247 N of Avondale Mill Rd Bibb Co.,Macon,Bibb,32.69353,-83.63828,GDOT_CCS,N,24587.0
000000210267,021-0267,US-41/SR247 N of I-75  Macon,Macon,Bibb,32.799758,-83.664867,GDOT_CCS,N,20117.0
000000210334,021-0334,I-75/SR401 N of I-475 Split ,Macon,Bibb,32.78161,-83.67782,GDOT_CCS,N,31293.0
000000210349,021-0349,"I-75 S of I-16 @Walnut St, Macon",Macon,Bibb,32.84622,-83.64252,GDOT_CCS,N,
000000210356,021-0356,"I-75 N of I-16 @N'Side Dr, Macon",Macon,Bibb,32.8925,-83.67772,GDOT_CCS,N,31293.0
000000210365,021-0365,"I-16 S of I-75 Split, Macon, Bibb Co",Macon,Bibb,32.85172,-83.63135,GDOT_CCS,E,
000000210372,021-0372,"I-16 bn SR22 & Coliseum Dr/US80/SR87, Macon",Macon,Bibb,32.84222,-83.62281,GDOT_CCS,E,
000000210376,021-0376,I-16 S of US29AL/SR87 @Marion Rd Bibb Co.(RW-VOL),Macon,Bibb,32.77391,-83.55789,GDOT_CCS,E,31293.0
000000210378,021-0378,I-475 S of SR22 (CL/WIM-OFF VOL ONLY),Macon,Bibb,32.79937,-83.72124,GDOT_CCS,N,29058.0
000000210541,021-0541,"SR74/Mercer Univ Dr W of I-75 & Grosso Ave, Macon (Const 10/21/25)",Macon,Bibb,32.826065,-83.671716,GDOT_CCS,E,20117.0
000000210587,021-0587,Anthony Rd W of Pio Nono Ave,Macon,Bibb,32.820214,-83.671836,GDOT_CCS,E,20117.0
000000210589,021-0589,"Anthony Rd bn Canton & Ashley Sts, Macon",Macon,Bibb,32.819994,-83.653101,GDOT_CCS,E,
000000217334,021-w334,"I-75 N of I-475 Split, Macon (2/4L-KLK) ",Macon,Bibb,32.779743,-83.680732,GDOT_CCS,N,29058.0
000000230152,023-0152,US-23BU/SR112 N of Vernon Rd Bleckley Co.,Cochran,Bleckley,32.413435,-83.356782,GDOT_CCS,N,15646.0
000000250163,025-0163,US-82/SR520 E of SR110 Brantley Co.,Waynesville,Brantley,31.22764,-81.80863,GDOT_CCS,E,24587.0
000000290103,029-0103,US-17/SR-25 W of I-95,Richmond Hill,Bryan,31.91201,-81.352734,GDOT_CCS,N,24587.0
000000290178,029-0178,"Ford Ave W of SR-25, Savannah",Richmond High,Bryan,31.956982,-81.323888,GDOT_CCS,E,20117.0
000000290189,029-0189,I-16 W of SR30 Bryan County,Ellabell,Bryan,32.19947,-81.48454,GDOT_CCS,E,31293.0
000000310187,031-0187,"US-25/SR73 S of AJ Riggs Rd, Statesboro",Statesboro,Bulloch,32.371194,-81.848587,GDOT_CCS,N,24587.0
000000330271,033-0271,"Spring Valley Rd E of Herndon & Wood Valley Rds, Waynesboro",Waynesboro,Burke,33.075366,-82.016535,GDOT_CCS,N,
000000350127,035-0127,I-75 2 mi N of SR36 @Colwell Rd Butts Co.,Jackson,Butts,33.22593,-84.07545,GDOT_CCS,N,31293.0
000000390145,039-0145,SR-40 (E King Ave) E of I-95,Kingsland,Camden,30.784791,-81.640086,GDOT_CCS,E,20117.0
000000390218,039-0218,I-95: N of Fla SL line Camden Co.(4/6L-QLQ),Kingsland,Camden,30.752565,-81.650985,GDOT_CCS,N,31293.0
000000390228,039-0228,I-95 N of Horse Stamp Ch Rd (RW-NBL3-MILLED),Woodbine,Camden,31.06446,-81.63084,GDOT_CCS,N,31293.0
000000430163,043-0163,I-16 E of SR-129 Candler Co.,Metter,Candler,32.372942,-82.030981,GDOT_CCS,E,31293.0
000000470114,047-0114,I-75 btwn SR146 & Tennessee Line (WIM-OFF-C/V ONLY),Ringgold,Catoosa,34.985084,-85.201047,GDOT_CCS,N,29058.0
000000510107,051-0107,"SR21SP/Brampton Rd E of Main St, Garden City",Garden City,Chatham,32.11303,-81.13841,GDOT_CCS,E,15646.0
000000510109,051-0109,SR21 N of I-95 & Rice Mill Rd (CL/WIM OFF VOL ONLY),Savannah,Chatham,32.223855,-81.194992,GDOT_CCS,N,24587.0
000000510126,051-0126,"SR26CO S of I-516, Savannah, Chatham Co",Savannah,Chatham,32.0982,-81.1435,GDOT_CCS,E,
000000510129,051-0129,"I-516 W of SR25 Conn/W Bay St, Savannah",Savannah,Chatham,32.09466,-81.13489,GDOT_CCS,N,24587.0
000000510132,051-0132,I-516 btwn Gwinnett St. & Augusta Ave,Savannah,Chatham,32.08096,-81.13169,GDOT_CCS,N,24587.0
000000510137,051-0137,I-516 S of I-16 @Ford Ave (shoulder-work),Savannah,Chatham,32.06166,-81.13849,GDOT_CCS,N,24587.0
000000510138,051-0138,"I-516/SR421 W Of SR204, Savannah (camera)",Savannah,Chatham,32.033222,-81.127631,GDOT_CCS,N,24587.0
000000510169,051-0169,US-17/Speedway Blvd @GA/SC Border,,Chatham,32.097452,-81.092265,GDOT_CCS,N,
000000510264,051-0264,US-80/SR26/Louisville Rd E of I-95 (CL/WIM-OFF-VOL ONLY),Savannah,Chatham,32.09632,-81.21342,GDOT_CCS,E,22352.0
000000510318,051-0318,SR204 W of I-95,Savannah,Chatham,32.00846,-81.29093,GDOT_CCS,E,20117.0
000000510334,051-0334,"SR204/Abercorn St S of E Derenne Ave, Savannah",Savannah,Chatham,32.020959,-81.110769,GDOT_CCS,E,20117.0
000000510365,051-0365,I-16 btn SR17 & I-95 (VOL-CONST),Savannah,Chatham,32.07981,-81.2689,GDOT_CCS,E,29058.0
000000510368,051-0368,I-16 East of Dean Forest exit.,Savannah,Chatham,32.06899,-81.19281,GDOT_CCS,E,29058.0
000000510369,051-0369,"I-16: W of I-516/SR21, Savannah(CONST)",Savannah,Chatham,32.07277,-81.15187,GDOT_CCS,E,24587.0
000000510376,051-0376,I-16 N of W Gwinnett St & US-17/SR404SP,Savannah,Chatham,32.07188,-81.10406,GDOT_CCS,E,20117.0
000000510383,051-0383,"I-95 btwn SR 26 & I-16, preferably as close to I-16 as possible (MP 102)",Savannah,Chatham,32.0963,-81.23688,GDOT_CCS,N,31293.0
000000510387,051-0387,I-95 N of SR-21 @ SC SL (4/6-KLK),Savannah,Chatham,32.2001,-81.18755,GDOT_CCS,N,31293.0
000000510390,051-0390,I-95 Welcome Center To I-95 SB,,Chatham,32.214999,-81.175889,GDOT_CCS,E,13411.0
000000510443,051-0443,Islands Expy W of US80/SR26 nr Oatland Is Rd,Savannah,Chatham,32.0586,-81.02247,GDOT_CCS,E,24587.0
000000510509,051-0509,Habersham St N of Stephenson Ave,Savannah,Chatham,32.01574,-81.11022,GDOT_CCS,N,11176.0
000000510649,051-0649,"Louisvle Rd E of I-516, Savnnh",Savannah,Chatham,32.08184,-81.12214,GDOT_CCS,E,20117.0
000000510700,051-0700,SR21AL/Jimmy Deloach Pky N of Grange Rd (4/4L-PLP),Port Wentworth,Chatham,32.14379,-81.17065,GDOT_CCS,N,24587.0
000000511113,051-1113,Grange Rd W of Jimmy Deloach Pkwy(2L-KLK),Port Wentworth,Chatham,32.13596,-81.16945,GDOT_CCS,E,13411.0
000000519215,051-9215,SR-204 To I-16 WB (Ramp),Savannah,Chatham,32.06271,-81.11111,GDOT_CCS,W,24587.0
000000519216,051-9216,SR404 SPUR WB TO I-16 (camera),Savannah,Chatham,32.07065,-81.10648,GDOT_CCS,W,24587.0
000000519816,051-9816,I-16 EB to SR204 - Ramp,Savannah,Chatham,32.0626,-81.11119,GDOT_CCS,E,24587.0
000000519818,051-9818,I-16 EB To SR 404SP (Ramp),Savannah,Chatham,32.069135,-81.107897,GDOT_CCS,E,24587.0
000000519827,051-9827,US-17/Speedway Blvd NB To Savannah Harbor Pkwy,,Chatham,32.097193,-81.092027,GDOT_CCS,N,
000000519828,051-9828,Savannah Harbor Pkwy To US-17/Speedway Blvd SB,,Chatham,32.097407,-81.092684,GDOT_CCS,S,
000000570341,057-0341,W Wylie Br Rd Cherokee Co.,Woodstock,Cherokee,34.09023,-84.44281,GDOT_CCS,N,15646.0
000000590014,059-0014,SR422 W of Prince Ave ,Athens,Clarke,33.969319,-83.42014,GDOT_CCS,E,29058.0
000000590087,059-0087,US-441/GA-15 N of Creek Stone Ct,Athens,Clarke,33.986973,-83.37758,GDOT_CCS,N,20117.0
000000590118,059-0118,"SR15 ALT/Prince Ave W of N Chase St, Athens",Athens,Clarke,33.96213,-83.39454,GDOT_CCS,N,15646.0
000000590367,059-0367,W Lake Dr S of US78BU/SR10 & Alpine Way,Athens,Clarke,33.942019,-83.408402,GDOT_CCS,N,20117.0
000000590441,059-0441,"CR 1037/N Chase St S of US129 @Bryan St, Athens",Athens,Clarke,33.9701,-83.3923,GDOT_CCS,N,
000000590611,059-0611,CR 203/Athena Dr: ,Athens,Clarke,33.97155,-83.31554,GDOT_CCS,E,20117.0
000000590613,059-0613,Vincent Dr btwn Jefferson River Rd & Newton Br Rd,Athens,Clarke,33.998209,-83.40873,GDOT_CCS,E,20117.0
000000610109,061-0109,US-27/SR1 S of SR37 & Chulee Rd/CR-19 Clay Co.,Bluffton,Clay,31.57966,-84.84998,GDOT_CCS,N,29058.0
000000630005,063-0005,SR3 Tara Blvd N/O SR92/McDonough Rd ,Hampton,Clayton,33.46206,-84.33224,GDOT_CCS,N,24587.0
000000630096,063-0096,SR85 btwn Flint River Rd & SR138,Riverdale,Clayton,33.528085,-84.420954,GDOT_CCS,N,20117.0
000000630383,063-0383,"Thomas Rd N of SR54, Atlanta",Jonesboro,Clayton,33.48828,-84.39779,GDOT_CCS,N,20117.0
000000631023,063-1023,US-19/Tara Blvd S of Mt Zion Rd,Jonesboro,Clayton,33.5677,-84.3715,GDOT_CCS,N,20117.0
000000631032,063-1032,US-19/Old Dixie Rd bn Morrow Rd & Forest Pkwy,Forest Park,Clayton,33.59292,-84.37698,GDOT_CCS,N,20117.0
000000631172,063-1172,"Forest Pkwy E of US-19,41/SR3, Forest Park",Forest Park,Clayton,33.62067,-84.36677,GDOT_CCS,E,17882.0
000000631192,063-1192,I-75 btwn 19/41 & Forest Parkway (RW-VOL),Forest Park,Clayton,33.59806,-84.3896,GDOT_CCS,N,31293.0
000000631194,063-1194,I-75 btwn SR331/Forest Pkwy & I-285,Forest Park,Clayton,33.627076,-84.400211,GDOT_CCS,N,29058.0
000000631201,063-1201,I-285 E of US-19/US-41 ,Forest Park,Clayton,33.64036,-84.3764,GDOT_CCS,E,29058.0
000000631207,063-1207,I-285 E of Riverdale Rd,Atlanta,Clayton,33.618927,-84.433062,GDOT_CCS,E,29058.0
000000650118,065-0118,"US-84/SR38 E of US441/SR89, Homerville",Homerville,Clinch,31.06038,-82.68363,GDOT_CCS,E,
000000650125,065-0125,"SR89 S of SR94, Clinch Co",Fargo,Clinch,30.6788,-82.55799,GDOT_CCS,N,20117.0
000000670774,067-0774,"I-575 N of  I-75 Split, Marietta, Cobb Co",Marietta,Cobb,34.00268,-84.56112,GDOT_CCS,N,24587.0
000000670781,067-0781,"I-575/SR417 S of SR92 @Shallowfrd Rd, Kennesaw",Kennesaw,Cobb,34.06831,-84.54011,GDOT_CCS,N,
000000672141,067-2141,US-41/Cobb Pkwy S of Franklin Rd,Marietta,Cobb,33.91388,-84.49749,GDOT_CCS,N,20117.0
000000672330,067-2330,US-278/SR 6 E of Powder Springs Dallas Rd(RW-VOL ONLY)),Powder Springs,Cobb,33.850103,-84.695758,GDOT_CCS,E,24587.0
000000672334,067-2334,CR 4516/Powder Springs Dallas Rd N of Angham Rd (RETIRED),Powder Springs,Cobb,33.8729,-84.71427,GDOT_CCS,N,20117.0
000000672373,067-2373,"I-285 S of Paces Ferry Rd, Cobb Co. (camera)",Atlanta,Cobb,33.855154,-84.483162,GDOT_CCS,N,29058.0
000000672429,067-2429,S Marietta Pkwy W of Cobb Pkwy,Marietta,Cobb,33.94118,-84.52686,GDOT_CCS,E,20117.0
000000672607,067-2607,SR280 S of Ridge Rd @Lake Laurel Rd (Paved 3-11-23),Smyrna,Cobb,33.85104,-84.50905,GDOT_CCS,N,20117.0
000000672623,067-2623,S Cobb Dr S of Barclay Rd @Dobbins AFB,Marietta,Cobb,33.925885,-84.518599,GDOT_CCS,E,24587.0
000000672738,067-2738,"I-75 N of I-285 @Terrell Mill Rd SE, Marietta",Marietta,Cobb,33.91237,-84.47911,GDOT_CCS,N,
000000672749,067-2749,"I-75 S of I-575 Split, Marietta",Marietta,Cobb,33.9915,-84.55192,GDOT_CCS,N,
000000679006,067-9006,I-285 E/W TO I-75 NB (Ramp)	,Marietta,Cobb,33.89681,-84.4665,GDOT_CCS,N,20117.0
000000679109,067-9109,I-285 EB TO I-75 (Ramp),Smyrna,Cobb,33.88643,-84.46664,GDOT_CCS,E,24587.0
000000679921,067-9921,I-285 TO I-75NB/I-285 EB LEADING  (CHEVRON 21) (Ramp),Atlanta,Cobb,33.88849,-84.46273,GDOT_CCS,E,20117.0
000000679922,067-9922,I-285 EB TO I-75 NB TRAILING (CHEVRON 22) (Ramp),Atlanta,Cobb,33.88986,-84.46014,GDOT_CCS,E,24587.0
000000810347,081-0347,SR300 N of Old Albany Rd (2/4L-KLK),Cordele,Crisp,31.92317,-83.78706,GDOT_CCS,E,29058.0
000000817347,081-w347,"SR300 W of I-75 & US-41/SR7 @Culpepper Rd, Cordele (RETIRED)",Cordele,Crisp,31.923171,-83.78711,GDOT_CCS,E,
000000830194,083-0194,I-59/SR406 S of SR136 Dade Co. (WIM OFF-CL/VOL ONLY),Trenton,Dade,34.822131,-85.539247,GDOT_CCS,N,31293.0
000000830209,083-0209,"I-24/SR409 bn TN SL & I-59, Dade Co ",Trenton,Dade,34.97755,-85.45655,GDOT_CCS,E,31293.0
000000830214,083-0214,I-24 bn TN State Line & SR299 (PAVED OVER),Chattanooga,Dade,34.98266,-85.40953,GDOT_CCS,E,31293.0
000000870103,087-0103,US-27/SR1 N of SR262 (CL/WIM-OFF-VOL ONLY),Attapulgus,Decatur,30.73387,-84.45188,GDOT_CCS,N,29058.0
000000870125,087-0125,US-27/SR1 N of SR253 Decatur Co.(4/4L-QLQ),Bainbridge,Decatur,30.91494,-84.59775,GDOT_CCS,N,24587.0
000000890314,089-0314,I-20 E of Panola Rd (Removed-07-19-23 Const),Atlanta,DeKalb,33.70319,-84.14613,GDOT_CCS,E,31293.0
