id,name,lat,lon
A32000,Fan Pier,42.35339,-71.04457
A32001,Union Square - Brighton Ave at Cambridge St,42.35333,-71.13731
A32002,Commonwealth Ave at Agganis Way,42.35169,-71.11903
A32003,B.U. Central T Stop - 725 Commonwealth Ave,42.35041,-71.10828
A32004,Longwood Ave at Binney St,42.33863,-71.1065
A32005,Brighton Mills - 370 Western Ave,42.36155,-71.13776
A32006,Soldiers Field Park - 111 Western Ave,42.36426,-71.11828
A32008,Park Dr at Buswell St,42.34724,-71.1053
A32009,South End Library - Tremont St at W Newton St,42.34133,-71.07685
A32010,South Station - 700 Atlantic Ave,42.35218,-71.05555
A32011,Innovation Lab - 125 Western Ave at Batten Way,42.36371,-71.1246
A32012,Packard's Corner - Commonwealth Ave at Brighton Ave,42.35226,-71.12383
A32013,Surface Rd at India St,42.35815,-71.05216
A32014,Stadium Rd at Western Ave,42.36306,-71.12505
A32015,N. Harvard St at Harvard Way,42.36678,-71.12518
A32016,Gardner St at Alcorn St,42.35321,-71.1233
A32017,Commonwealth Ave at Griggs St,42.34922,-71.13275
A32018,Harborwalk at Central Wharf,42.35847,-71.0504
A32019,175 N Harvard St,42.36447,-71.12841
A32020,Atlantic Ave at Beach St,42.35071,-71.05659
A32021,Nashua Street at Red Auerbach Way [Extension],42.36586,-71.06416
A32022,Edwards Playground - Main St at Eden St,42.37897,-71.06861
A32023,Bunker Hill Community College,42.37409,-71.06906
A32024,Staniford St at Merrimac St,42.36358,-71.06372
A32025,Nashua Street at Red Auerbach Way,42.36567,-71.06426
A32026,Purchase St at Pearl St,42.35466,-71.05318
A32028,Bennington St at Byron St,42.38353,-71.01619
A32029,Piers Park,42.36501,-71.03529
A32030,Maverick Square - Lewis Mall,42.36884,-71.03978
A32031,East Boston Neighborhood Health Center - 20 Maverick Square,42.36954,-71.03943
A32032,Bremen St at Marion St,42.37411,-71.03276
A32033,The Eddy - New St at Sumner St,42.37074,-71.0442
A32034,Glendon St at Condor St,42.3824,-71.03024
A32035,Orient Heights T Stop - Bennington St at Saratoga St,42.38678,-71.0061
A32036,Boston East - 126 Border St,42.37331,-71.04102
A32037,Washington St at Corey Rd,42.34237,-71.14018
A32039,Bennington St at Constitution Beach,42.38522,-71.01063
