id,name,freeway,direction,type,lanes,city,county,abs_pm,lat,lon
715898,PHOEBE,5,N,ML,3,40032,37,117.313,33.880069,-118.021261
715900,VALLEY VIEW,5,S,OR,1,40032,37,117.63,33.882892,-118.026822
715901,VALLEY VIEW,5,N,OR,1,40032,37,117.743,33.8834,-118.027451
715903,ALONDRA,5,N,OR,1,69154,37,118.193,33.886992,-118.034125
715904,CARMENITA,5,S,OR,1,69154,37,118.84,33.892489,-118.044573
715905,CARMENITA,5,N,OR,1,52526,37,119.153,33.894587,-118.048098
715906,ROSECRANS,5,S,OR,1,52526,37,119.85,33.900669,-118.059422
715907,FIRESTONE,5,S,OR,1,52526,37,120.19,33.903961,-118.064046
715908,SAN ANTONIO/NORWALK,5,S,OR,1,52526,37,120.85,33.911074,-118.071686
715910,NORWALK SB,5,N,OR,1,52526,37,121.213,33.913564,-118.075867
715911,IMPERIAL,5,S,OR,1,52526,37,121.46,33.916643,-118.079557
715912,IMPERIAL,5,N,OR,1,52526,37,121.593,33.917571,-118.080056
715913,PIONEER,5,S,FR,1,52526,37,121.79,33.920763,-118.082501
715915,TINA,5,N,ML,3,52526,37,122.133,33.924353,-118.084803
715916,TINA,5,S,ML,3,52526,37,122.07,33.924281,-118.084952
715918,ORR - DAY,5,N,ML,3,52526,37,122.833,33.93311,-118.091005
715920,S OF 605,5,S,ML,4,52526,37,123.21,33.938544,-118.094941
715923,LAKEWOOD NB,5,S,OR,1,19766,37,124.78,33.956897,-118.110532
715924,LAKEWOOD NB,5,N,OR,1,19766,37,124.903,33.957583,-118.111199
715925,LAKEWOOD SB,5,S,OR,1,19766,37,124.92,33.958225,-118.11239
715926,LAKEWOOD SB,5,N,OR,1,19766,37,125.043,33.95891,-118.113036
715927,PARAMOUNT,5,N,OR,1,19766,37,125.493,33.9632,-118.1189
715928,PARAMOUNT NB,5,S,OR,1,19766,37,125.5,33.963867,-118.11987
715929,GUATEMALA,5,S,ML,4,19766,37,126.07,33.971707,-118.123095
715930,GUATEMALA,5,N,ML,4,19766,37,126.133,33.971763,-118.122905
715932,SLAUSON,5,S,OR,1,14974,37,126.44,33.97646,-118.125953
715933,GREENWOOD,5,N,ML,4,14974,37,126.963,33.981839,-118.130679
715935,GARFIELD,5,S,OR,1,14974,37,127.33,33.986224,-118.136014
715937,WASHINGTON 1,5,S,OR,1,14974,37,128.11,33.994935,-118.14469
715938,GASPAR,5,N,ML,4,14974,37,128.813,34.002541,-118.150997
715941,ATLANTIC,5,S,OR,1,14974,37,129.25,34.007592,-118.157266
715944,FERRIS,5,N,ML,4,14974,37,129.983,34.013676,-118.166091
715947,S OF 710,5,S,ML,3,14974,37,130.24,34.015325,-118.17127
715949,DOWNEY,5,N,OR,1,,37,130.983,34.020076,-118.181702
715950,DITMAN,5,S,OR,1,,37,131.333,34.020088,-118.189029
