facility,type,lat,lng
Robert F. Kennedy Bridge Bronx,bridge,40.8025,-73.9329
Robert F. Kennedy Bridge Manhattan,bridge,40.7908,-73.9346
Bronx - Whitestone Bridge,bridge,40.8035,-73.8306
Throgs Neck Bridge,bridge,40.8052,-73.7937
Henry Hudson Bridge,bridge,40.8731,-73.9281
Marine Parkway Bridge,bridge,40.5737,-73.885
Cross Bay Bridge,bridge,40.5932,-73.8201
Verrazzano - Narrows Bridge,bridge,40.6062,-74.0463
Hugh L. Carey Tunnel (Brooklyn-Battery),tunnel,40.7007,-74.0142
Queens Midtown Tunnel,tunnel,40.7466,-73.9665
Hugh L. Carey Tunnel,tunnel,40.6941,-74.0129
