route_id,worst_month,worst_month_coverage,cov_2025-05,cov_2025-06,cov_2025-07,cov_2026-05,cov_2026-06
B102,2025-05,0.0,0.0,0.0,0.0,1.0,1.0
B116,2025-05,0.0,0.0,0.0,0.0,1.0,1.0
T117,2025-05,0.0,0.0,0.0,0.0,1.0,1.0
T232,2025-05,0.0,0.0,0.0,0.0,1.0,1.0
T260,2025-05,0.0,0.0,0.0,0.0,1.0,1.0
T321,2025-05,0.0,0.0,0.0,0.0,1.0,1.0
T323,2025-05,0.0,0.0,0.0,0.0,1.0,1.0
T403,2025-05,0.0,0.0,0.0,0.0,1.0,1.0
T464,2025-05,0.0,0.0,0.0,0.0,1.0,1.0
T320,2025-05,0.0,0.0,0.0,0.0,1.0,1.0
T354,2025-05,0.0,0.0,0.0,0.0,1.0,1.0
T127,2025-05,0.0,0.0,0.0,0.0,1.0,1.0
T430,2025-05,0.0,0.0,0.0,0.0,1.0,1.0
