layer,break_index,value
stations,0,1.0
stations,1,1.0
stations,2,2.0
stations,3,5.0
stations,4,11.0
stations,5,424.0
census_tract,0,1.0
census_tract,1,2.0
census_tract,2,3.0
census_tract,3,7.0
census_tract,4,19.0
census_tract,5,1272.0
nta,0,1.0
nta,1,5.0
nta,2,14.0
nta,3,39.0
nta,4,128.0
nta,5,3282.0
cdta,0,1.0
cdta,1,14.0
cdta,2,41.0
cdta,3,109.0
cdta,4,351.0
cdta,5,4856.0
nj_census_tract,0,1.0
nj_census_tract,1,1.0
nj_census_tract,2,3.0
nj_census_tract,3,5.0
nj_census_tract,4,10.0
nj_census_tract,5,153.0
