station_id,name,lat,lng,present_years,present_months
2231.1,3 Ave & 92 St,40.61946,-74.03261,2026,2026-01;2026-04;2026-05
2354.03,Shore Rd & Narrows Ave,40.6222,-74.04029,2026,2026-03;2026-04;2026-05;2026-06;2026-07
2506.1,83 St & Narrows Ave,40.62757,-74.03838,2026,2026-06
2803.04,Narrows Ave & MacKay Pl,40.63692,-74.03449,2026,2026-01;2026-02;2026-03;2026-04;2026-05;2026-06;2026-07
3138.09,58 St & 2 Ave,40.644512,-74.021506,2025,2025-01
3184.07_OLD,New Utrecht Ave & 9 Ave,40.646249287052434,-73.99452600971485,2026,2026-06
3445.05,E 54 St & Linden Blvd,40.65417,-73.9268,2026,2026-07
3460.06,2 Ave & 37 St,40.65624,-74.00933,2025,2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07;2025-08
3492.04,34 St & 4 Ave,40.655278,-74.003101,2025,2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07
3518.04,Clarkson Ave & E 91 St,40.65809,-73.9247,2026,2026-07
3558.01,E 52 St & Winthrop St,40.65831,-73.92919,2026,2026-07
3583.04,Riverdale Ave & E 98 St,40.65984,-73.91685,2026,2026-07
3591.05,E 93 St & Winthrop St,40.66069,-73.92491,2026,2026-07
3623.03,Kings Hwy & E 98 St,40.66169,-73.91948,2026,2026-07
3631.05,E 92 St & Rutland Rd,40.66204,-73.92763,2026,2026-07
3655.06,Livonia Ave & Saratoga Ave,40.66166,-73.91566,2026,2026-07
3663.01,Rockaway Pkwy & Winthrop St,40.66274,-73.92174,2026,2026-07
3671.02,Utica Ave & E New York Ave,40.66304,-73.93141,2026,2026-07
3694.08,Legion St & Blake Ave,40.66443,-73.91716,2026,2026-07
3702.07,E 95 St & Rutland Rd,40.66323,-73.92529,2026,2026-07
3774.06,Rockaway Pkwy & Rutland Rd,40.66455,-73.92376,2026,2026-07
4033.19,Park Pl & Franklin Ave,40.67418106036449,-73.95655458212127,2026,2026-04;2026-05;2026-06;2026-07
