link_id,name,borough,owner
4329472,LINCOLN TUNNEL E SOUTH TUBE - NJ - NY,Manhattan,PA -Lincoln Tunnel
4329473,LINCOLN TUNNEL E CENTER TUBE NJ - NY,Manhattan,PA -Lincoln Tunnel
4329499,MLK N WALKER STREET - NJ ROUTE 169,Staten Island,NYC_DOT_LIC
4329507,LINCOLN TUNNEL W NORTH TUBE NY - NJ,Manhattan,PA -Lincoln Tunnel
4329508,LINCOLN TUNNEL W CENTER TUBE NY - NJ,Manhattan,PA -Lincoln Tunnel
4362244,CVE NB LIE - WILLETS PT BLVD,Queens,NYC-DOT-Region 10
4362249,LIE WB LITTLE NECK PKWY - NB CIP,Queens,NYC-DOT-Region 10
4362250,CVE NB GCP - WILLETS PT BLVD,Queens,NYC-DOT-Region 10
4362251,LIE WB LITTLE NECK PKWY - NB CVE,Queens,NYC-DOT-Region 10
4362314,TNB S Qns Anchorage - CIP S @ TNB,Queens,NYC_DOT_LIC
4456450,FDR N - TBB E 116TH STREET - MANHATTAN TRUSS,Manhattan,MTA Bridges & Tunnels
4456452,TBB W - FDR S MANHATTAN TRUSS - E116TH STREET,Manhattan,MTA Bridges & Tunnels
4456476,TBB N QUEENS ANCHORAGE - MANHATTAN LIFT SPAN,Queens,MTA Bridges & Tunnels
4456477,MDE S TBB EXIT RAMP - QUEENS ANCHORAGE,Queens,MTA Bridges & Tunnels
4456478,BE S TBB EXIT RAMP - QUEENS ANCHORAGE,Queens,MTA Bridges & Tunnels
4456479,BE S TBB EXIT RAMP - MANHATTAN LIFT SPAN,Queens,MTA Bridges & Tunnels
4456481,TBB S MANHATTAN LIFT SPAN - QUEENS ANCHORAGE,Queens,MTA Bridges & Tunnels
4456483,CIP N ramp to TNB - TNB Queens Anchorage,Queens,NYC_DOT_LIC
4456494,West St S Spring St - BBT Manhattan Portal outbound,Manhattan,NYC_DOT_LIC
4456496,BWB S Toll Plaza - Queens Anchorage,Bronx,NYC_DOT_LIC
4456497,BWB N Queens Anchorage - Toll Plaza,Queens,NYC_DOT_LIC
4456498,HRP S Lafayette Ave - BWB S Toll Plaza,Bronx,NYC_DOT_LIC
4456500,Whitestone Expwy N Exit 14 (Linden Pl) - BWB N Queens Anchorage,Queens,NYC_DOT_LIC
4456501,BBT W Toll Plaza - Manhattan Portal,Manhattan,MTA Bridges & Tunnels
4456502,BBT E Manhattan Portal - Toll Plaza,Manhattan,MTA Bridges & Tunnels
4456505,TNB N Queens Anchorage - Toll Plaza,Queens,NYC_DOT_LIC
4456506,TNB S Toll Plaza - Queens Anchorage,Queens,NYC_DOT_LIC
4456510,QMT W Toll Plaza - Manhattan Side,Queens,NYC_DOT_LIC
4456511,QMT E Manhattan Side - Toll Plaza,Manhattan,NYC_DOT_LIC
4616192,SIE E CLOVE ROAD - FINGERBOARD ROAD,Staten Island,NYC_DOT_LIC
4616193,SIE E BRADLEY AVENUE - CLOVE ROAD,Staten Island,NYC_DOT_LIC
4616195,SIE E RICHMOND AVENUE - WOOLEY AVENUE,Staten Island,NYC_DOT_LIC
4616196,MLK S - SIE E WALKER STREET - WOOLEY AVENUE,Staten Island,NYC_DOT_LIC
4616199,SIE W - WSE S SOUTH AVENUE - SOUTH AVENUE,Staten Island,NYC_DOT_LIC
4616201,WSE S VICTORY BOULEVARD - ARDEN AVENUE,Staten Island,NYC_DOT_LIC
4616202,WSE S ARDEN AVENUE - BLOOMINGDALE ROAD,Staten Island,NYC_DOT_LIC
4616203,WSE S BLLOMINGDALE ROAD - TYRELLAN AVENUE,Staten Island,NYC_DOT_LIC
4616206,SIE W FINGERBOARD ROAD - CLOVE ROAD,Staten Island,NYC_DOT_LIC
4616208,SIE W BRADLEY AVENUE - WOOLEY AVENUE,Staten Island,NYC_DOT_LIC
4616209,SIE W WOOLEY AVENUE - RICHMOND AVENUE,Staten Island,NYC_DOT_LIC
4616210,MLK S - SIE W WALKER STREET - RICHMOND AVENUE,Staten Island,NYC_DOT_LIC
4616211,SIE W RICHMOND AVENUE - SOUTH AVENUE,Staten Island,NYC_DOT_LIC
4616212,WSE N VICTORY BLVD - SOUTH AVENUE,Staten Island,NYC_DOT_LIC
4616213,WSE N ARDEN AVENUE - VICTORY BLVD,Staten Island,NYC_DOT_LIC
4616214,WSE N BLOOMUINGDALE ROAD - ARDEN AVENUE,Staten Island,NYC_DOT_LIC
4616215,WSE N TYRELLAN AVENUE - BLOOMINGDALE ROAD,Staten Island,NYC_DOT_LIC
4616216,SIE E-MLK N RICHMOND AVENUE - WALKER STREET,Staten Island,NYC_DOT_LIC
4616217,SIE W - MLK N WOOLEY AVENUE - WLAKER STREET,Staten Island,NYC_DOT_LIC
4616220,GOW N 92ND STREET - 7TH AVENUE,Brooklyn,NYC_DOT_LIC
4616223,GOW N 9TH STREET - ATLANTIC AVENUE,Brooklyn,NYC_DOT_LIC
4616225,TBB N QUEENS ANCHORAGE - BE N,Queens,NYC_DOT_LIC
4616226,GOW S 7TH AVENUE - 92ND STREET,Brooklyn,NYC_DOT_LIC
4616228,I-87 NYST S Exit 1 - MDE S Van Cortlandt Park,Bronx,NYC_DOT_LIC
4616229,BQE S - GOW S ALTANTIC AVENUE - 9TH STREET,Brooklyn,NYC_DOT_LIC
4616239,Whitestone Expwy S Exit 14 (Linden Pl) - VWE S MP8.65 (Exit 13 Northern Blvd),Queens,NYC_DOT_LIC
4616241,VWE S MP8.65 (Exit 13 Northern Blvd) - MP6.39 (Exit 11 Jewel Ave),Queens,NYC_DOT_LIC
4616246,BE N STRATFORD AVENUE - CASTLE HILL AVE,Bronx,NYC_DOT_LIC
4616247,BE N Castle Hill Avenue - Griswold Ave,Bronx,NYC_DOT_LIC
4616250,HRP N LAFAYETTE AVENUE - E TREMONT AVENUE,Bronx,NYC_DOT_LIC
4616252,BRP N WATSON AVENUE - FORDHAM ROAD,Bronx,NYC_DOT_LIC
4616253,CBE E TAYLOR AVENUE - CASTLE HILL AVENUE,Bronx,NYC_DOT_LIC
4616255,MDE N RFK Bridge - 142nd St,Bronx,NYC_DOT_LIC
4616257,BQE N ATLANTIC AVENUE - LEONARD STREET,Brooklyn,NYC_DOT_LIC
4616260,BE S CASTLE HILL AVENUE - STRATFORD AVENUE,Bronx,NYC_DOT_LIC
4616261,BE S Griswold - Castle Hill Avenue,Bronx,NYC_DOT_LIC
4616266,BRP S FORDHAM ROAD - WATSON AVENUE,Bronx,NYC_DOT_LIC
4616267,CBE W CASTLE HILL AVENUE - TAYLOR AVENUE,Bronx,NYC_DOT_LIC
4616271,BQE S LEONARD STREET - ATLANTIC AVENUE,Brooklyn,NYC_DOT_LIC
4616272,VWE S MP4.63 (Exit 6 Jamaica Ave) - MP2.66 (Exit 2 Roackaway Blvd),Queens,NYC_DOT_LIC
4616276,VWE S MP2.66 (Exit 2 Rockaway Blvd) - Belt Pkwy E 182nd St,Queens,NYC_DOT_LIC
4616282,ROUTE 169 S - MLK WALKER STREET,Staten Island,NYC_DOT_LIC
4616297,CBE E CASTLE HILL AVE - BE N WATERBURY AVE,Bronx,NYC_DOT_LIC
4616298,VWE N MP4.63 (Exit 6 - Jamaica Ave) - MP6.39 (Exit 11 Jewel Ave),Queens,NYC_DOT_LIC
4616300,VWE N MP8.64 (Exit 13 Northern Blvd) - Whitestone Expwy Exit 14 (Linden Pl),Queens,NYC_DOT_LIC
4616305,BWB N Toll Plaza - HRP N Lafayatte Ave,Bronx,NYC_DOT_LIC
4616309,CBE E AMSTERDAM AVE(U/LVL) - MORRIS AVE,Bronx,NYC_DOT_LIC
4616310,CBE AMSTERDAM AVE (L/LVL) - MORRIS AVE,Bronx,NYC_DOT_LIC
4616312,BWB S Queens Anchorage - WSE S Exit 14 (Linden Pl),Queens,NYC_DOT_LIC
4616318,GOW N 7TH AVENUE - 9TH STREET,Brooklyn,NYC_DOT_LIC
4616319,GOW S 9TH STREET - 7TH AVENUE,Brooklyn,NYC_DOT_LIC
4616320,CIP N TNB - Whitestone Expwy S Exit 14 (Linden Pl),Queens,NYC_DOT_LIC
4616324,12th ave @ 45th - 11 ave ganservoort st,Manhattan,NYC_DOT_LIC
4616325,11th ave s ganservoort - west st @ spring st,Manhattan,NYC_DOT_LIC
4616328,FDR N Catherine Slip - 25th St,Manhattan,NYC_DOT_LIC
4616329,FDR N 25th - 63rd St,Manhattan,NYC_DOT_LIC
4616333,FDR S 25th St - Catherine Slip,Manhattan,NYC_DOT_LIC
4616338,12th Ave N 40th - 57th St,Manhattan,NYC_DOT_LIC
4616339,BQE N Atlantic Ave - BKN Bridge Manhattan Side,Manhattan,NYC_DOT_LIC
4616340,BQE N Atlantic Ave - MAN Bridge Manhattan Side,Manhattan,NYC_DOT_LIC
4616341,FDR S Catherine Slip - BKN Bridge Manhattan Side,Manhattan,NYC_DOT_LIC
4616342,BKN Bridge Manhattan Side - FDR N Catherine Slip,Manhattan,NYC_DOT_LIC
4616346,Westside Hwy S GWB - 57th St,Manhattan,NYC_DOT_LIC
4616350,CIP S LIE - Hempstead Tpk,Queens,NYC_DOT_LIC
4616351,CIP N Hempstead Tpk - LIE,Queens,NYC_DOT_LIC
4616352,CIP S Hempstead Tpk - Laurelton Pkwy @ SSP,Queens,NYC_DOT_LIC
4616353,Laurelton Pkwy N @ SSP - CIP N Hempstead Tpk,Queens,NYC_DOT_LIC
4616354,Laurelton Pkwy S @ SSP - Belt Pkwy W 182nd St,Queens,NYC_DOT_LIC
4616355,Belt Pkwy E 182nd St - Laurelton Pkwy N @ SSP,Queens,NYC_DOT_LIC
4616357,Belt Pkwy W JFK Expressway - VWE N Jamaica Ave,Queens,NYC_DOT_LIC
4616364,LIE W 108TH ST - 84TH ST,Queens,NYC_DOT_LIC
4620298,GWB E LOWER LEVEL PLAZA - CBE E LOWER LEVEL AMSTERDAM AVE,Manhattan,PA-GWBridge
4620310,CBE W U/LEV AMSTERDAM AVE - I95 S EXP LNS,Bronx,PA-GWBridge
4620315,CBE W L/LE V AMSTERDAM AVE - I 95 S LOC LNS,Bronx,PA-GWBridge
4620330,MDE S HARLEM RIVER PARK - GWB W AMSTERDAM AVENUE LOWER LEVEL,Bronx,NYC_DOT_LIC
4620331,CBE W MORRIS AVE - GWB W AMSTERDAM AVE (U/LVL),Bronx,PA-GWBridge
4620343,Westside Hwy N 57th St - GWB,Manhattan,NYC_DOT_LIC
4763649,VNB W BROOKLYN GANTRY UPPER LEVEL - SI GANTRY UPPER LEVEL,Brooklyn,Verrazano-Narrows-Bridge
4763650,SIE E VNB E FINGERBOARD ROAD - SI GANTRY LOWER LEVEL,Staten Island,NYC_DOT_LIC
4763652,VNB E SI GANTRY UPPER LEVEL - BROOKLYN GANTRY UPPER LEVEL,Brooklyn,Verrazano-Narrows-Bridge
4763655,GOW S VNB W 92ND STREET - BKLYN GANTRY UPPER LEVEL,Brooklyn,Verrazano-Narrows-Bridge
4763657,GOW S VNB W 92ND STREET - BKLYN GANTRY LOWER LEVEL,Brooklyn,Verrazano-Narrows-Bridge
