route_id,total_ridership,share_of_total
Q08,49,0.3689%
Q06,34,0.2560%
Q09,23,0.1732%
Q07,19,0.1430%
B92,0,0.0000%
B91,0,0.0000%
B91A,0,0.0000%
BX18,0,0.0000%
B98V,0,0.0000%
BX90,0,0.0000%
BX99,0,0.0000%
L91,0,0.0000%
D99,0,0.0000%
F1,0,0.0000%
M14D,0,0.0000%
J99,0,0.0000%
D90,0,0.0000%
M14A,0,0.0000%
M99,0,0.0000%
Q107,0,0.0000%
Q15A,0,0.0000%
Q21,0,0.0000%
Q20B,0,0.0000%
Q20A,0,0.0000%
Q34,0,0.0000%
Q92,0,0.0000%
Q94,0,0.0000%
Q98V,0,0.0000%
Q93,0,0.0000%
Q95,0,0.0000%
QM3,0,0.0000%
SIM6X,0,0.0000%
SIM8X,0,0.0000%
X11,0,0.0000%
X17,0,0.0000%
X17A,0,0.0000%
X22,0,0.0000%
X10B,0,0.0000%
X17J,0,0.0000%
X15,0,0.0000%
X1,0,0.0000%
X10,0,0.0000%
X21,0,0.0000%
SIM5X,0,0.0000%
X19,0,0.0000%
X2,0,0.0000%
X4,0,0.0000%
X64,0,0.0000%
X68,0,0.0000%
X3,0,0.0000%
X9,0,0.0000%
X42,0,0.0000%
X8,0,0.0000%
X7,0,0.0000%
X31,0,0.0000%
X5,0,0.0000%
X63,0,0.0000%
X22A,0,0.0000%
X30,0,0.0000%
B101,0,0.0000%
B98,0,0.0000%
SIM4X,0,0.0000%
X14,0,0.0000%
X12,0,0.0000%
