route_id,name
B1,B1
B100,B100
B101,B101
B103,B103
B106,B106
B11,B11
B111,B111
B12,B12
B13,B13
B14,B14
B15,B15
B16,B16
B17,B17
B2,B2
B20,B20
B24,B24
B25,B25
B26,B26
B3,B3
B31,B31
B32,B32
B35,B35
B36,B36
B37,B37
B38,B38
B39,B39
B4,B4
B41,B41
B42,B42
B43,B43
B44,B44
B44+,B44+
B45,B45
B46,B46
B46+,B46+
B47,B47
B48,B48
B49,B49
B52,B52
B54,B54
B57,B57
B6,B6
B60,B60
B61,B61
B62,B62
B63,B63
B64,B64
B65,B65
B67,B67
B68,B68
B69,B69
B7,B7
B70,B70
B74,B74
B8,B8
B82,B82
B82+,B82+
B83,B83
B84,B84
B9,B9
B90,B90
B91,B91
B91A,B91A
B92,B92
B93,B93
B94,B94
B96,B96
B98,B98
B98V,B98V
B99,B99
BM1,BM1
BM2,BM2
BM3,BM3
BM4,BM4
BM5,BM5
BX1,BX1
BX10,BX10
BX11,BX11
BX12,BX12
BX12+,BX12+
BX13,BX13
BX15,BX15
BX16,BX16
BX17,BX17
BX18,BX18
BX18A,BX18A
BX18B,BX18B
BX19,BX19
BX2,BX2
BX20,BX20
BX21,BX21
BX22,BX22
BX23,BX23
BX24,BX24
BX25,BX25
BX26,BX26
BX27,BX27
BX28,BX28
BX29,BX29
BX3,BX3
BX30,BX30
BX31,BX31
BX32,BX32
BX33,BX33
BX34,BX34
BX35,BX35
BX36,BX36
BX38,BX38
BX39,BX39
BX4,BX4
BX40,BX40
BX41,BX41
BX41+,BX41+
BX42,BX42
BX46,BX46
BX4A,BX4A
BX5,BX5
BX6,BX6
BX6+,BX6+
BX7,BX7
BX8,BX8
BX9,BX9
BX90,BX90
BX92,BX92
BX95,BX95
BX99,BX99
BXM1,BXM1
BXM10,BXM10
BXM11,BXM11
BXM18,BXM18
BXM2,BXM2
BXM3,BXM3
BXM4,BXM4
BXM6,BXM6
BXM7,BXM7
BXM8,BXM8
BXM9,BXM9
D90,D90
