stop_id,name,lat,lng,routes
984067,BRUCKNER BLVD/WILKINSON AV,40.85286,-73.826879,BX23 Bx23
500649,140 AV/180 ST,40.671578,-73.763914,Q85 Q89
403147,BROADWAY/W 116 ST,40.807957,-73.96422,M104 M4 M60+ M60-SBS
401824,E 34 ST /PARK AV,40.746929,-73.981102,BM5 M34+ M34-SBS M34A+ M34A-SBS
350101,E 80 ST / FLATLANDS AV,40.635351,-73.91317,B103 BM2
104349,E 180 ST/WEBSTER AV,40.852216,-73.898028,BX40 BX42 Bx40 Bx42
403434,3 AV/E 85 ST,40.778468,-73.954121,BXM1 BXM10 BxM1 BxM10 M102 M103
102798,WEBSTER AV/EAST MOSHOLU PKWY NORTH,40.86942,-73.880178,BX41 Bx41
300400,BAY RIDGE PKWY/15 AV,40.617884,-74.003335,B4
100230,WESTCHESTER AV/WHITE PLAINS RD,40.83278,-73.862939,BX4 BX4A Bx4 Bx4A
403716,W 135 ST/SAINT NICHOLAS AV,40.817043,-73.947771,BX33 Bx33
400034,MADISON AV/E 83 ST,40.778793,-73.960206,M1 M2 M3 M4
100108,GRAND CONCOURSE/E 181 ST,40.854276,-73.902425,BX1 BX2 Bx1 Bx2
302022,BROADWAY/HULL ST,40.680211,-73.905914,B20 Q24
304409,MYRTLE AV/DE KALB AV,40.69799,-73.925645,B54 M90 T410
308305,NEPTUNE AV/W 5 ST,40.579893,-73.972057,B68
400107,5 AV/E 109 ST,40.796533,-73.94957,M1 M2
300938,60 ST/16 AV,40.624591,-73.991653,B9
102097,EASTCHESTER RD/PELHAM PKWY,40.85784,-73.843611,BX31 Bx31
302346,GREENPOINT AV/KINGSLAND AV,40.732576,-73.943261,B24
100475,HENRY HUDSON PKWY WEST/W 249 ST,40.897,-73.908291,BX10 BX7 Bx10 Bx7
101328,SOUTHERN BLVD/FREEMAN ST,40.830046,-73.891826,BX19 Bx19
402334,YORK AV/E 72 ST,40.767166,-73.95344,M31
504228,VAN DAM ST/REVIEW AV,40.734543,-73.938017,B24
307618,50 ST/7 AV,40.642193,-74.005596,B11
300707,SARATOGA AV/BLAKE AV,40.664923,-73.9163,B7
102140,JEROME AV/E 192 ST,40.865447,-73.898909,BX32 Bx32
301746,REMSEN AV/AVENUE A,40.651406,-73.918291,B17 B8
303318,FLATBUSH AV/AURELIA CT,40.629867,-73.944699,B41
101742,ASCH LOOP/CO-OP CITY BLVD,40.870433,-73.826154,BX23 BX26 BX28 BX30 Bx23 Bx26 Bx28 Bx30
101866,EAST GUN HILL RD/WHITE PLAINS RD,40.877136,-73.865806,BX28 BX38 Bx28 Bx38
400128,5 AV/E 62 ST,40.766094,-73.971754,BXM3 BXM4 BxM3 BxM4 M1 M2 M3 M4
401769,2 AV/E 46 ST,40.752481,-73.970371,M15
350159,QUENTIN RD / BEDFORD AV,40.609303,-73.948122,B100
101552,STARLING AV/PURDY ST,40.836224,-73.852783,BX22 Bx22
306604,MOTHER GASTON BLVD/BLAKE AV,40.666298,-73.906146,B14
102370,E 180 ST/BATHGATE AV,40.850828,-73.894489,BX40 BX42 Bx40 Bx42
404260,BROADWAY/W 113 ST,40.806258,-73.964954,M104 M4
104063,EAST TREMONT AV/BARKLEY AV,40.830961,-73.826384,BX40 BX42 Bx40 Bx42
101688,JEROME AV/MORRIS AV,40.870974,-73.893892,BX28 BX38 Bx28 Bx38
305515,86 ST/12 AV,40.615395,-74.016309,B1 X28 X38
903360,FT GEORGE AV/FORT GEORGE HILL,40.857096,-73.927473,M101
450064,5 AV/W 58 ST,40.763824,-73.973479,BXM10 BXM11 BXM6 BXM7 BXM8 BXM9 BxM10 BxM11 BxM6 BxM7 BxM8 BxM9
403982,FREDERICK DOUGLASS BLVD/W 135 ST,40.816771,-73.946213,M10
300445,KINGS HWY/CONEY ISLAND AV,40.607467,-73.961376,B7 B82 B82+ B82-SBS
450046,5 AV/W 51 ST,40.759315,-73.976742,BXM10 BXM6 BXM7 BXM8 BXM9 BxM10 BxM6 BxM7 BxM8 BxM9
303151,BROADWAY/KOSSUTH PL,40.692974,-73.928075,B47 T430 T433
101362,SOUTHERN BLVD/TIFFANY ST,40.818478,-73.894129,BX19 Bx19
302981,3 AV/49 ST,40.648157,-74.014436,B37
300891,18 AV/47 ST,40.629261,-73.980171,B11 B8
403711,E 135 ST/MADISON AV,40.812302,-73.936529,BX33 Bx33 M1
306239,CORTELYOU RD / E 18 ST,40.642462,-73.961532,B103 BM1 BM2 BM3 BM4
100379,E 163 ST/FOX ST,40.82091,-73.893001,BX6 Bx6
300432,BAY PKWY/78 ST,40.606366,-73.989185,B6 B82 B82+ B82-SBS
301319,ALBANY AV/WINTHROP ST,40.657693,-73.939559,B12
403976,SAINT NICHOLAS AV/W 184 ST,40.851369,-73.932102,M3
103914,E 135 ST/ST ANN'S AV,40.804846,-73.918554,BX17 Bx17
303033,LAFAYETTE AV/STUYVESANT AV,40.691884,-73.933411,B38
103714,WEST KINGSBRIDGE RD/SEDGWICK AV,40.869439,-73.90377,BX3 BX9 Bx3 Bx9
350244,FLATLANDS AV / WILLIAMS AV,40.650061,-73.891029,BM2
400041,MADISON AV/E 98 ST,40.788413,-73.95318,M1 M106 M2 M3 M4
404135,FREDERICK DOUGLASS BLVD/W 158 ST,40.830451,-73.936359,M10
402659,W 125 ST/MALCOLM X  BLVD,40.807514,-73.945026,M101 M125
306636,39 ST/9 AV,40.645704,-73.994843,B35
402216,E 57 ST/2 AV,40.759086,-73.96486,M31 M57
306881,ASHFORD ST/WORTMAN AV,40.659995,-73.878701,B20 B6 B84
102775,E 241 ST/BAYCHESTER AV,40.901826,-73.846959,BX39 BXM11 Bx39 BxM11
307984,EASTERN PKWY/UTICA AV,40.668552,-73.931509,B14 B99
404079,E 106 ST/LEXINGTON AV,40.792464,-73.946569,M106
400616,BROADWAY/W 151 ST,40.830413,-73.947322,M4 M5
100298,MACDONOUGH PL/COUNTRY CLUB,40.842607,-73.825077,BX5 Bx5 Q50
103954,SEDGWICK AV/STEVENSON PL 2,40.882384,-73.892363,BX1 BX10 BX2 Bx1 Bx10 Bx2
403422,LEXINGTON AV/E 68 ST,40.767713,-73.964248,M101 M102 M103
100704,HENRY HUDSON PKWY WEST/W 227 ST,40.88167,-73.917338,BX10 BX20 BXM1 BXM18 BXM2 Bx10 Bx20 BxM1 BxM18 BxM2
305907,36 ST/3 AV,40.655395,-74.00613,B70
305932,8 AV/58 ST,40.636442,-74.008676,B70
305994,MERMAID AV/W 36 ST,40.574828,-74.001634,B74
308292,BUSKWICK AV/GRAND ST,40.711673,-73.940631,L90
300578,GLENWOOD RD/E 103 ST,40.648241,-73.897469,B6 B60
301551,SUTTER AV/CRESCENT ST,40.673111,-73.86928,B13 B14
901502,WYCKOFF AV / PALMETTO ST,40.699291,-73.910755,B26
300049,13 AV/77 ST,40.619307,-74.008353,B64
307811,DEAN ST/TROY AV,40.676076,-73.936146,B15 B65
300061,BAY RIDGE AV/6 AV,40.632552,-74.018875,B64
308527,WYCKOFF AV/STARR ST,40.706018,-73.922072,L90
300580,GLENWOOD RD/E 108 ST,40.650551,-73.893811,B6
305348,5 AV/BAY RIDGE AV,40.633754,-74.020803,B63
350154,OCEAN AV / DITMAS AV,40.639481,-73.959109,BM1 BM3 BM4
300247,AVENUE U/E 56 ST,40.611915,-73.919338,B3 B47
505252,21 ST/44 DR,40.747857,-73.947515,B32
901093,KINGS PLAZA,40.60914,-73.921443,B46 B46+ B46-SBS
100567,EASTFORDHAM RD/BATHGATE AV,40.859851,-73.887646,BX12 BX22 BX9 Bx12 Bx22 Bx9
307499,60 ST/15 AV,40.62643,-73.994423,B9
301793,REMSEN AV/AVENUE K,40.636494,-73.901976,B17
101194,BAINBRIDGE AV/E 212 ST,40.883393,-73.877837,BX16 BX34 BXM4 Bx16 Bx34 BxM4
103356,WATERS PL/EASTCHESTER RD,40.846261,-73.844137,BX21 BX24 Bx21 Bx24
307638,CATON AV/SAINT PAULS PL,40.651613,-73.962646,B16
100652,BAINBRIDGE AV/RESERVOIR OVAL E,40.877311,-73.879677,BX10 BX16 BX28 BX34 BX38 Bx10 Bx16 Bx28 Bx34 Bx38
102529,EAST TREMONT AV/BRYANT AV,40.840849,-73.881822,BX36 Bx36
400467,SAINT NICHOLAS AV/W 150 ST,40.827466,-73.942831,M3
301979,BROADWAY/CHAUNCEY ST,40.68289,-73.910345,B20 Q24
100822,CITY ISLAND AV/BEACH ST,40.851731,-73.78899,BX29 Bx29
300020,OCEAN PKWY/SHORE PKWY,40.585483,-73.966323,B1 B36 B4
303023,LAFAYETTE AV/GRAND AV,40.688541,-73.962427,B38
401306,FREDERICK DOUGLASS BLVD/W 154 ST,40.828306,-73.938048,M10
350076,CORTELYOU RD/STRATFORD RD,40.639681,-73.968061,B103 BM1 BM2 BM3 BM4
305453,5 AV/BAY RIDGE AV,40.633191,-74.021217,B63
405181,3 AV/E 116 ST,40.797798,-73.94004,M101 M103 M98
308367,60 ST/9 AV,40.633937,-74.007119,B9
402805,LEXINGTON AV/E 122 ST,40.802094,-73.939144,M101 M103
307823,DEAN ST/KINGSTON AV,40.676348,-73.941156,B65
102044,EASTCHESTER RD/MACE AV,40.862897,-73.843299,BX31 BXM10 Bx31 BxM10
302489,WYCKOFF AV/MADISON ST,40.698442,-73.909242,B26
405437,10 AV/W 207 ST,40.864759,-73.918751,M100
901009,EMMONS AV/NOSTRAND AV,40.584028,-73.938408,B44
401749,2 AV/E 96 ST,40.784201,-73.947265,BXM10 BxM10
304072,FLATLANDS AV / E 105 ST,40.647569,-73.894388,B103 B82 B82+ B82-SBS BM2
902255,GRAND CONCOURSE/McCLELLAN ST,40.833092,-73.919377,BX1 BX2 Bx1 Bx2
803061,W 205 ST/PAUL AV,40.877071,-73.890065,BX22 BX25 BX26 Bx22 Bx25 Bx26
350088,E 66 ST / BASSETT AV,40.609939,-73.907128,B100 BM1
306898,SHORE PKWY/NOSTRAND AV,40.585419,-73.938723,B4 B44 B44+ B44-SBS
400268,W 155 ST/EDGECOMBE AV,40.830182,-73.939846,BX6 Bx6 M2
100884,OGDEN AV/W 162 ST,40.831913,-73.929871,BX13 Bx13
303178,BROADWAY/PARK AV,40.698656,-73.93836,B46 B47
402811,LEXINGTON AV/E 110 ST,40.794544,-73.944667,M101 M102 M103
101295,UNDERCLIFF AV/W 172 ST,40.845071,-73.924631,BX18A Bx18A
306541,56 ST/12 AV,40.632199,-73.998112,B16
100617,BROADWAY/W 240 ST,40.886686,-73.899919,BX9 Bx9
304435,MYRTLE AV/WALWORTH ST,40.694778,-73.954721,B54
400123,5 AV/E 75 ST,40.774356,-73.965776,M1 M2 M3 M4
303493,NOSTRAND AV/AVENUE S,40.604746,-73.942804,B44
404010,E 8 ST/LAFAYETTE ST,40.730069,-73.991279,M1 M2 M3 M8
803059,E 120 ST/PLEASANT AV,40.797614,-73.93101,M116
302777,39 ST/9 AV,40.645918,-73.994923,B35
306633,9 ST/4 AV,40.670368,-73.988987,B61
100035,GRAND CONCOURSE/E 175 ST,40.846739,-73.908556,BX1 BX2 Bx1 Bx2
300632,GLENWOOD RD/E 37 ST,40.634454,-73.94142,B6
404353,MAIN RDWY/ICAHN STADIUM,40.792872,-73.92339,M35
100261,WESTCHESTER AV/SIMPSON ST,40.82431,-73.892769,BX4 Bx4
308326,5 AV/57 ST,40.641361,-74.01411,B63
103525,WEST BURNSIDE AV/JEROME AV,40.853857,-73.907519,BX40 BX42 Bx40 Bx42
100162,UNIVERSITY AV/W 192 ST,40.86722,-73.901763,BX3 Bx3
302915,3 AV/3 ST,40.675185,-73.9878,B103 B37
400890,WEST HOUSTON ST/GREENE ST,40.72623,-73.998164,M21
102903,METROPOLITAN AV/RED OAK DR,40.840094,-73.857459,BX4A Bx4A
300256,AVENUE U/GERRITSEN AV,40.601558,-73.935453,B3
300927,60 ST/5 AV,40.639261,-74.015951,B9
306940,3 AV/99 ST,40.614688,-74.034783,B63
102073,E 233 ST/BUSSING AV,40.892152,-73.853665,BX31 Bx31
100219,WESTCHESTER AV/WHITLOCK AV,40.827495,-73.886273,BX27 BX4 BX4A Bx27 Bx4 Bx4A
308062,GRAND ARMY PLAZA/FLATBUSH AV,40.673095,-73.969547,B69
404138,BROADWAY/W 63 ST,40.771637,-73.98234,M104 M20
307812,DEAN ST/SCHENECTADY AV,40.675896,-73.932818,B15 B65
301985,DECATUR ST/WILSON AV,40.690007,-73.906254,B111 B20
302711,CHURCH AV/TROY AV,40.65142,-73.935751,B35
104330,PELHAM PKWY/WHITE PLAINS RD,40.857267,-73.86777,BX12+ Bx12-SBS
304986,WILSON AV/HALSEY ST,40.691487,-73.909418,B60
400716,W 34 ST/BROADWAY,40.749982,-73.98805,M34+ M34-SBS M34A+ M34A-SBS
308311,E 98 ST/SUTTER AV,40.665096,-73.922981,B47
304654,FLUSHING AV/STEUBEN ST,40.697849,-73.963529,B57
102583,EAST TREMONT AV/LATTING ST,40.838507,-73.835571,BX40 BX42 Bx40 Bx42
100966,RADIO DR/GRISWOLD AV,40.843952,-73.819378,BX24 Bx24
101712,ALLERTON AV/LODOVICK AV,40.865011,-73.837152,BX25 BX26 Bx25 Bx26
803194,RIVERBANK STATE PARK RDWY/RIVERBANK STATE PARK,40.826815,-73.955386,BX19 Bx19 M11
103391,BRUCKNER BLVD/HAVEMEYER AV,40.827309,-73.846393,BX5 Bx5
303182,BROADWAY/DE KALB AV,40.693587,-73.92936,B47 T430 T433
101369,E 149 ST/CONCORD AV,40.813155,-73.90855,BX17 BX19 Bx17 Bx19
302831,NOSTRAND AV/AVENUE W,40.596019,-73.941155,B36 B44
100703,HENRY HUDSON PKWY WEST/W 232 ST,40.884585,-73.915078,BX10 BX20 BXM1 BXM18 BXM2 Bx10 Bx20 BxM1 BxM18 BxM2
401142,GRAND ST/JACKSON ST,40.71408,-73.980611,L92 M14A+ M14A-SBS
450451,2 AV/E 121 ST,40.800382,-73.935453,BXM10 BXM6 BXM7 BXM8 BXM9 BxM10 BxM6 BxM7 BxM8 BxM9
301934,DE KALB AV/FORT GREENE PL,40.689826,-73.976966,B38 B93
404334,LENOX AV/W 125 ST,40.80804,-73.945118,M102 M7
300190,AVENUE U/W 12 ST,40.595808,-73.983231,B3
301769,AVENUE L/E 85 ST,40.633101,-73.903786,B17
350090,E 66 ST / DAKOTA PL,40.607408,-73.908875,B100 BM1
101455,BOSTON RD/SOUTHERN BLVD,40.837153,-73.888206,BX11 BX21 Bx11 Bx21
450059,5 AV/W 48 ST,40.757419,-73.978122,BM1 BM2 BM3 BM4 BM5 BXM3 BXM4 BxM3 BxM4
101718,BAYCHESTER AV/DARROW PL,40.878532,-73.832806,BX23 BX25 BX28 BX30 BX38 Bx23 Bx25 Bx28 Bx30 Bx38 Q50
303459,NOSTRAND AV/SAINT JOHNS PL,40.670871,-73.950508,B44 B44+ B44-SBS
300624,AVENUE H / UTICA AV,40.63296,-73.928229,B103 B6 BM2
300159,AVENUE S/FLATBUSH AV,40.612861,-73.926402,B2
400125,5 AV/E 69 ST,40.77028,-73.96876,BXM11 BXM3 BXM4 BxM11 BxM3 BxM4 M1 M2 M3 M4
300163,FLATBUSH AV/AVENUE T,40.611476,-73.92407,B41 B46 B9
301126,E 98 ST/LENOX RD,40.659733,-73.91717,B15
300716,THOMAS S BOYLAND ST/FULTON ST,40.678306,-73.913515,B7
100077,RIVERDALE AV/W 236 ST,40.886238,-73.907112,BX7 BXM1 BXM2 Bx7 BxM1 BxM2
300286,77 ST/RIDGE BLVD,40.630524,-74.030709,B4
802021,BAINBRIDGE AV/E 206 ST,40.874442,-73.879381,BX28 BX38 Bx28 Bx38
401387,HUDSON ST/HORATIO ST,40.738853,-74.00559,M11 M12
303375,NOSTRAND AV/AVENUE M,40.619822,-73.945468,B44 BM4
303461,NOSTRAND AV/CARROLL ST,40.666866,-73.950851,B44 B96
402525,AMSTERDAM AV/W 153 ST,40.830343,-73.943814,M101
402608,BROADWAY/W 215 ST,40.869669,-73.91619,BX20 BX7 Bx20 Bx7
450082,MADISON AV/E 23 ST,40.741173,-73.987686,BXM10 BXM6 BXM7 BXM8 BXM9 BxM10 BxM6 BxM7 BxM8 BxM9
302826,NOSTRAND AV/AVENUE W,40.595788,-73.940882,B36 B44
302445,JAY ST/WILLOUGHBY ST,40.692314,-73.987319,B26 B62
403777,3 AV/E 97 ST,40.78573,-73.948748,BXM1 BXM10 BXM7 BxM1 BxM10 BxM7 M101 M102 M103 M98
402135,E 23 ST / 2 AV,40.737898,-73.981026,BM1 BM2 BM3 BM4 SIM10 SIM11 SIM3 SIM31 SIM6
303258,LIVINGSTON ST/HOYT ST,40.689844,-73.986081,B41 B45 B67 B93
401755,2 AV/E 82 ST,40.775053,-73.95387,M15
403267,CENTRAL PARK NORTH/5 AV,40.797362,-73.950273,M2 M3 M4
103228,EAST TREMONT AV/SAMPSON AV,40.820575,-73.818219,BX42 BXM9 Bx42 BxM9
301737,REMSEN AV/AVENUE K,40.637162,-73.902393,B17
101924,EAST GUN HILL RD/EASTCHESTER RD,40.868414,-73.842234,BX28 BX38 Bx28 Bx38
103692,CROSBY AV/DUDLEY AV,40.841801,-73.829991,BX8 Bx8
802131,WHITE PLAINS RD/EAST GUN HILL RD,40.877403,-73.866076,BX41 Bx41
101873,EAST GUN HILL RD/BURKE AV,40.871794,-73.849,BX28 BX38 Bx28 Bx38
303823,LORIMER ST/GRAND ST,40.711314,-73.948841,B48
401823,E 34 ST /MADISON AV,40.747644,-73.98283,BM5
100737,OGDEN AV/UNIVERSITY AV,40.843611,-73.923774,BX13 Bx13
403116,BROADWAY/W 103 ST,40.79932,-73.968241,M104
100280,STORY AV/METCALF AV,40.822549,-73.870532,BX5 Bx5
301694,FORT HAMILTON PKWY/62 ST,40.632238,-74.006971,B16
300389,STILLWELL AV/HIGHLAWN AV,40.602964,-73.986333,B4
300299,BAY RIDGE PKWY/15 AV,40.617684,-74.003181,B4
305173,MANHATTAN AV/NORMAN AV,40.725111,-73.95163,B43 B62
307206,PENNSYLVANIA AV / GENEVA LOOP,40.645647,-73.879523,B82 B83 BM2 BM5
305597,BERGEN ST/NEW YORK AV,40.676019,-73.947596,B65
103943,CHARLES CRIMI RD/SUBWAY OVERPASS,40.852828,-73.825972,BX29 Bx29
303990,BEDFORD AV/AVENUE D,40.640238,-73.954329,B49
104112,GRAND CONCOURSE/EAST TREMONT AV,40.849554,-73.905648,BX1 BX2 BXM4 Bx1 Bx2 BxM4
101406,BOSTON RD/PROSPECT AV,40.833606,-73.895962,BX21 Bx21
308152,AVENUE N/UTICA AV,40.618908,-73.926421,B41
308057,NOSTRAND AV / AVENUE L,40.621809,-73.946045,B44 B44+ B44-SBS BM4
307398,ASHFORD ST/STANLEY AV,40.660855,-73.87951,B20 B6 B84
100474,HENRY HUDSON PKWY WEST/W 252 ST,40.89913,-73.9077,BX10 BX7 BXM1 BXM18 BXM2 Bx10 Bx7 BxM1 BxM18 BxM2
350058,AVENUE M / ROCKAWAY PKY,40.637133,-73.893498,B103 BM2
300004,ORIENTAL BLVD/FALMOUTH ST,40.577718,-73.9462,B1 B49
402845,LEXINGTON AV/E 40 ST,40.749766,-73.977317,M101 M102 M103
306979,STILLWELL AV/AVENUE Z,40.584708,-73.98287,B64
305228,VAN BRUNT ST/SUMMIT ST,40.682959,-74.006333,B61
303300,FLATBUSH AV/PARK PL,40.677359,-73.972665,B116 B41 B69
402102,CHERRY ST/JACKSON ST,40.712296,-73.980525,M22
400619,BROADWAY/W 157 ST,40.834257,-73.944519,M4 M5 T204
307260,FULTON ST/ROCKAWAY AV,40.678189,-73.910359,B25
300309,STILLWELL AV/80 ST,40.602772,-73.986532,B4
403667,W 178 ST/FORT WASHINGTON AV,40.84843,-73.938117,BX36 Bx36
404180,5 AV/W 45 ST,40.755268,-73.979638,M1 M2 M3
300869,AVENUE D/BROOKLYN AV,40.641342,-73.943158,B8
