osm_id,name,lat,lon,poi_type,borough_query
airbnb/2539,11 Min to Manhattan • Prospect Park • Fast WiFi,40.64593716028213,-73.97216373838066,airbnb,Airbnb-NYC
airbnb/6848,Only 2 stops to Manhattan studio,40.70935,-73.95342,airbnb,Airbnb-NYC
airbnb/6872,Uptown Sanctuary w/ Private Bath (Month to Month),40.80107,-73.94255,airbnb,Airbnb-NYC
airbnb/6990,UES Beautiful Blue Room,40.78778,-73.94759,airbnb,Airbnb-NYC
airbnb/7097,"Perfect for Your Parents, With Garden & Patio",40.69194,-73.97389,airbnb,Airbnb-NYC
airbnb/7801,Sunny Williamsburg Loft with Private Cedar Sauna,40.71880722045898,-73.9561767578125,airbnb,Airbnb-NYC
airbnb/263005,2 bedroom apartment in charming brick townhouse,40.6974983215332,-73.97722625732422,airbnb,Airbnb-NYC
airbnb/263232,Cozy&Clean in a great neighborhood,40.82176,-73.94522,airbnb,Airbnb-NYC
airbnb/263888,Contemporary & Classic Sanctuary on the Hudson,40.79541778564453,-73.97563171386719,airbnb,Airbnb-NYC
airbnb/265145,Studio sublet in Hell's kitchen,40.76253,-73.98365,airbnb,Airbnb-NYC
airbnb/265506,Luxury NYC 2 Bedroom with Terrace,40.7628,-73.9651,airbnb,Airbnb-NYC
airbnb/266449,2 Bedroom Gem - Prime LES Location,40.719482,-73.98877,airbnb,Airbnb-NYC
airbnb/267376,Room in a New York loft,40.70867,-74.00303,airbnb,Airbnb-NYC
airbnb/267435,Large Sunny Bedroom in QNS NYC,40.73333,-73.85933,airbnb,Airbnb-NYC
airbnb/267652,Private clean spacious room - Across from subway,40.6447193,-73.966453,airbnb,Airbnb-NYC
airbnb/8490,"Maison des Sirenes1,bohemian, luminous apartment",40.68455584344908,-73.93963415175676,airbnb,Airbnb-NYC
airbnb/9357,Midtown Pied-a-terre,40.76724,-73.98664,airbnb,Airbnb-NYC
airbnb/115535,Sun-Drenched Hamilton Hts Jewel,40.82402,-73.95263,airbnb,Airbnb-NYC
airbnb/115748,1 BDRM Apt-Weekends and short stays available,40.76406,-73.92266,airbnb,Airbnb-NYC
airbnb/116551,Beautiful Harlem Studio Apartment - private access,40.80384,-73.95123,airbnb,Airbnb-NYC
airbnb/118061,Style in Stuyvesant Heights,40.68462,-73.92895,airbnb,Airbnb-NYC
airbnb/125163,Authentic New York City Living,40.68595,-73.92923,airbnb,Airbnb-NYC
airbnb/128975,City Room - Street View Apt,40.81127,-73.94561,airbnb,Airbnb-NYC
airbnb/136493,Historical space with exceptional light & art,40.67497,-73.97796,airbnb,Airbnb-NYC
airbnb/10452,Radiant Oasis  B&B Style room,40.68294,-73.95682,airbnb,Airbnb-NYC
airbnb/12192,ENJOY Downtown NYC!,40.72296,-73.98383,airbnb,Airbnb-NYC
airbnb/268335,Modern  Condo w/Luxury Amenities by McCarren Park,40.72136,-73.95674,airbnb,Airbnb-NYC
airbnb/268481,Resort-like living in Williamsburg,40.7154,-73.94028,airbnb,Airbnb-NYC
airbnb/269283,"Brooklyn: Bright, Spacious & Cozy + Good Vibes",40.66385,-73.93229,airbnb,Airbnb-NYC
airbnb/269404,"Master Bedroom Private Bath Avaliable, Astoria",40.76716,-73.91177,airbnb,Airbnb-NYC
airbnb/270139,"Private Room Bushwick Near L train,",40.70413,-73.92726,airbnb,Airbnb-NYC
airbnb/270231,Cozy New York  City private room,40.74496,-73.91167,airbnb,Airbnb-NYC
airbnb/270345,Classic East Village Studio (great location),40.72499,-73.99198,airbnb,Airbnb-NYC
airbnb/12937,"1 Stop to Midtown! Private Bedroom, Landmark House",40.74757,-73.94571,airbnb,Airbnb-NYC
airbnb/12940,Charming Brownstone Near PRATT,40.67946,-73.95417,airbnb,Airbnb-NYC
airbnb/14314,Greenpoint Place...Has It All!,40.73535,-73.95584,airbnb,Airbnb-NYC
airbnb/139624,"Spacious, Sunny, private one bedroom",40.67478,-73.95165,airbnb,Airbnb-NYC
airbnb/140133,Truly Amazing Oasis In Williamsburg,40.71347,-73.96035,airbnb,Airbnb-NYC
airbnb/141335,Architect's Brownstone,40.67487,-73.97637,airbnb,Airbnb-NYC
airbnb/142069,"EAST VILLAGE STUDIO, sunny & quiet",40.72506,-73.97906,airbnb,Airbnb-NYC
airbnb/144087,LUXURY OF THE HORIZON,40.80687,-73.95333,airbnb,Airbnb-NYC
