cdta2020,airbnb,bar,hotel,nightclub,pub,restaurant,nightlife_total,accommodation_total,total_count
BK01,1945,156,18,19,20,369,195,1963,2527
BK02,743,58,13,1,15,197,74,756,1027
BK03,1823,37,6,3,5,96,45,1829,1970
BK04,1011,63,1,7,11,129,81,1012,1222
BK05,428,1,7,0,0,25,1,435,461
BK06,645,58,8,2,28,238,88,653,979
BK07,361,29,14,0,12,127,41,375,543
BK08,830,33,2,0,9,98,42,832,972
BK09,422,7,1,0,5,36,12,423,471
BK10,206,8,2,0,11,120,19,208,347
BK11,95,2,0,0,0,105,2,95,202
BK12,128,3,2,0,2,51,5,130,186
BK13,103,6,2,0,1,58,7,105,170
BK14,349,6,4,0,0,46,6,353,405
BK15,113,5,1,0,2,87,7,114,208
BK16,382,2,5,0,0,7,2,387,396
BK17,494,2,0,1,0,7,3,494,504
BK18,331,0,0,1,0,16,1,331,348
BK55,0,0,0,0,0,1,0,0,1
BK56,0,0,0,0,0,1,0,0,1
BX01,108,1,3,1,0,18,2,111,131
BX02,39,0,0,0,0,1,0,39,40
BX03,32,1,0,1,0,4,2,32,38
BX04,106,3,2,1,0,12,4,108,124
BX05,72,0,0,0,0,19,0,72,91
BX06,36,1,0,0,0,21,1,36,58
BX07,67,1,1,0,0,11,1,68,80
BX08,64,2,0,0,2,26,4,64,94
BX09,80,2,0,1,0,39,3,80,122
BX10,65,4,1,0,0,39,4,66,109
BX11,137,2,1,1,0,32,3,138,173
BX12,160,6,1,0,0,17,6,161,184
BX26,1,0,0,0,0,1,0,1,2
BX27,0,0,0,0,0,1,0,0,1
BX28,1,0,0,0,0,0,0,1,1
MN01,756,36,50,0,19,262,55,806,1123
MN02,1023,107,27,8,17,502,132,1050,1684
MN03,1433,196,34,9,25,564,230,1467,2261
MN04,1892,80,72,12,15,330,107,1964,2401
MN05,1631,89,170,4,62,556,155,1801,2512
MN06,1543,41,53,0,35,300,76,1596,1972
MN07,1166,40,18,1,7,281,48,1184,1513
MN08,1202,39,14,0,15,326,54,1216,1596
MN09,579,7,2,0,0,75,7,581,663
MN10,945,6,3,0,1,82,7,948,1037
MN11,556,4,0,1,2,92,7,556,655
MN12,528,10,2,1,2,88,13,530,631
MN64,0,2,0,0,0,1,2,0,3
QN01,818,69,33,9,8,337,86,851,1274
QN02,675,45,16,3,13,230,61,691,982
QN03,317,12,10,2,1,135,15,327,477
QN04,307,11,3,0,0,137,11,310,458
QN05,366,34,1,6,9,179,49,367,595
QN06,138,4,2,1,2,142,7,140,289
QN07,369,6,18,2,0,182,8,387,577
QN08,146,5,4,1,0,96,6,150,252
QN09,194,4,0,3,2,79,9,194,282
QN10,150,5,4,3,1,55,9,154,218
QN11,79,3,5,0,2,57,5,84,146
QN12,457,16,18,2,1,84,19,475,578
QN13,369,3,4,2,1,85,6,373,464
QN14,210,7,2,0,4,34,11,212,257
QN80,0,8,0,0,1,19,9,0,28
QN81,2,8,0,0,0,3,8,2,13
QN82,0,0,0,0,0,0,0,0,0
QN83,1,10,1,0,3,20,13,2,35
QN84,7,0,0,0,0,0,0,7,7
SI01,225,10,3,1,7,172,18,228,418
SI02,68,5,5,0,0,148,5,73,226
SI03,32,8,1,0,3,133,11,33,177
SI95,1,0,1,0,0,0,0,2,2
