nta2020,airbnb,bar,hotel,nightclub,pub,restaurant,nightlife_total,accommodation_total,total_count
BK0101,424,46,3,4,4,95,54,427,576
BK0102,853,69,12,6,9,180,84,865,1129
BK0103,29,0,1,0,0,3,0,30,33
BK0104,639,41,2,9,7,91,57,641,789
BK0201,65,5,1,0,2,39,7,66,112
BK0202,207,23,11,0,6,75,29,218,322
BK0203,200,10,1,0,6,45,16,201,262
BK0204,266,19,0,1,0,38,20,266,324
BK0261,5,1,0,0,1,0,2,5,7
BK0301,817,20,3,2,5,45,27,820,892
BK0302,1006,17,3,1,0,51,18,1009,1078
BK0401,488,52,0,6,9,86,67,488,641
BK0402,523,11,1,1,2,43,14,524,581
BK0471,0,0,0,0,0,0,0,0,0
BK0501,129,0,0,0,0,8,0,129,137
BK0502,112,1,5,0,0,4,1,117,122
BK0503,115,0,2,0,0,0,0,117,117
BK0504,6,0,0,0,0,9,0,6,15
BK0505,66,0,0,0,0,4,0,66,70
BK0571,0,0,0,0,0,0,0,0,0
BK0601,307,34,8,2,16,108,52,315,475
BK0602,338,24,0,0,12,130,36,338,504
BK0701,117,7,0,0,3,18,10,117,145
BK0702,190,16,10,0,9,53,25,200,278
BK0703,54,6,4,0,0,56,6,58,120
BK0771,0,0,0,0,0,0,0,0,0
BK0801,197,17,0,0,5,51,22,197,270
BK0802,629,16,2,0,4,47,20,631,698
BK0891,4,0,0,0,0,0,0,4,4
BK0901,136,2,1,0,2,6,4,137,147
BK0902,286,5,0,0,3,30,8,286,324
BK1001,189,8,2,0,11,101,19,191,311
BK1002,16,0,0,0,0,19,0,16,35
BK1061,1,0,0,0,0,0,0,1,1
BK1091,0,0,0,0,0,0,0,0,0
BK1101,46,0,0,0,0,67,0,46,113
BK1102,21,0,0,0,0,17,0,21,38
BK1103,28,2,0,0,0,21,2,28,51
BK1201,26,0,1,0,0,22,0,27,49
BK1202,13,1,1,0,0,12,1,14,27
BK1203,80,2,0,0,2,16,4,80,100
BK1204,9,0,0,0,0,1,0,9,10
