osm_id,name,lat,lon,poi_type,borough_query
node/368061418,Hotel Belleclaire,40.7823754,-73.9811723,hotel,Manhattan
node/368061423,Hotel Churchill,40.7819444,-73.9825,hotel,Manhattan
node/410235438,Trudy's Ice Cream,40.8003773,-73.9618056,restaurant,Manhattan
node/570912397,Le Monde,40.8057782,-73.9658657,restaurant,Manhattan
node/822939198,Amsterdam Inn,40.7814188,-73.9799422,hotel,Manhattan
node/1061531752,Hotel 99,40.796654,-73.9708276,hotel,Manhattan
node/1119244578,Tom's Restaurant,40.8054509,-73.9654163,restaurant,Manhattan
node/1809517485,Night Hotel,40.7932576,-73.9722071,hotel,Manhattan
node/1821015959,City Diner,40.7910471,-73.9747641,restaurant,Manhattan
node/1821015975,5 Napkin Burger,40.7870645,-73.9779334,restaurant,Manhattan
node/1825848790,Kesari,40.7993268,-73.9687523,restaurant,Manhattan
node/1825848800,Manhattan Valley,40.7970144,-73.969726,restaurant,Manhattan
node/1825848802,Metro Diner,40.7974417,-73.9701456,restaurant,Manhattan
node/1825848804,Just Pho You,40.7975736,-73.9693077,restaurant,Manhattan
node/1843430243,Sipsteria,40.7953407,-73.969686,restaurant,Manhattan
node/1843430248,Malecon Restaurant,40.7950365,-73.9699063,restaurant,Manhattan
node/1843430256,Ozen,40.7949162,-73.9699934,restaurant,Manhattan
node/1913191317,Bosino,40.7987385,-73.9673316,restaurant,Manhattan
node/1993216326,Nice Matin,40.783395,-73.9784022,restaurant,Manhattan
node/2047267694,Amsterdam Ale House,40.7813756,-73.9798992,pub,Manhattan
node/2047267696,Hotel Beacon,40.7807355,-73.9810912,hotel,Manhattan
node/2091642033,Trattoria iL Gusto,40.7892574,-73.9698327,restaurant,Manhattan
node/2108362680,Saba's Pizza,40.7832708,-73.9779816,restaurant,Manhattan
node/2111692827,Kouzan,40.7921778,-73.9714835,restaurant,Manhattan
node/2113159210,Spice,40.7842712,-73.9772503,restaurant,Manhattan
node/2113159211,St. James Gate,40.7844919,-73.9771026,pub,Manhattan
node/2113159212,WAU,40.7844415,-73.9776143,restaurant,Manhattan
node/2125873482,Rudraks,40.7930225,-73.9713526,restaurant,Manhattan
node/2125873488,Pio Pio,40.7929325,-73.97142,restaurant,Manhattan
node/2125873489,Jing Fong Restaurant,40.7827246,-73.9789347,restaurant,Manhattan
node/2131698464,Haru Sushi,40.7841916,-73.9773072,restaurant,Manhattan
node/2159537771,River Palm Terrace,40.8426844,-73.9687863,restaurant,Manhattan
node/2159537774,Rusty Kale's Pub,40.8440804,-73.9674452,pub,Manhattan
node/2195218446,Village Square Pizza,40.7923725,-73.9738366,restaurant,Manhattan
node/2262170141,1020 Bar,40.8032115,-73.963939,bar,Manhattan
node/2269596294,Baggio's Pizza and Restaurant,40.8511728,-73.9708161,restaurant,Manhattan
