node_id,name,street,from_street,to_street,borough,lat,lng
9007562,BEACH   25 STREET at ROCKAWAY FREEWAY,BEACH   25 STREET,ROCKAWAY FREEWAY,,Queens,40.59984656091094,-73.76154124795174
108911,KENT AVENUE at SOUTH    9 STREET,KENT AVENUE,SOUTH    9 STREET,,B,40.70919256100905,-73.9684800443029
9044510,BROADWAY at GRAHAM AVENUE,BROADWAY,GRAHAM AVENUE,,B,40.70100772434256,-73.94238994858162
55421,41 ROAD at COLLEGE POINT BOULEVARD,41 ROAD,COLLEGE POINT BOULEVARD,,Queens,40.75552181774326,-73.8333992481391
9328,DEAD END at DOE PLACE,DEAD END,DOE PLACE,,S,40.636600257660405,-74.11570438098532
58765,DEAD END at HOVENDEN ROAD,DEAD END,HOVENDEN ROAD,,Queens,40.71916925717442,-73.78112649190591
83393,67 DRIVE at QUEENS BOULEVARD,67 DRIVE,QUEENS BOULEVARD,,Queens,40.72622499987869,-73.85150362391158
70752,BEACH  106 STREET at ROCKAWAY FREEWAY,BEACH  106 STREET,ROCKAWAY FREEWAY,,Queens,40.58309723113965,-73.82794661117423
58494,68 AVENUE at 171 STREET,68 AVENUE,171 STREET,,Queens,40.7335510083295,-73.79851443310966
34175,132 STREET at LINDEN BOULEVARD,132 STREET,LINDEN BOULEVARD,,Queens,40.68179239389251,-73.8097910992715
24298,8 AVENUE at WEST  140 STREET,8 AVENUE,WEST  140 STREET,,Manhattan,40.819672668043864,-73.94423175262678
41788,31 AVENUE at 42 STREET,31 AVENUE,42 STREET,,Queens,40.760567738554215,-73.91549262581894
41787,31 AVENUE at 41 STREET,31 AVENUE,41 STREET,,Queens,40.76094527496487,-73.9162939534397
41745,30 AVENUE at 35 STREET,30 AVENUE,35 STREET,,Queens,40.76539419229151,-73.91818972862642
13755,20 AVENUE at 59 STREET,20 AVENUE,59 STREET,,B,40.619962605437046,-73.98228194057668
50172,69 AVENUE at GROTON STREET,69 AVENUE,GROTON STREET,,Queens,40.71745099428134,-73.85182140971102
93177,79 STREET at LINDEN BOULEVARD,79 STREET,LINDEN BOULEVARD,,Queens,40.67040345357698,-73.85628944386791
31569,80 STREET at 153 AVENUE,80 STREET,153 AVENUE,,Queens,40.665774107871165,-73.85413920094129
58840,HOVENDEN ROAD at SOMERSET STREET,HOVENDEN ROAD,SOMERSET STREET,,Queens,40.719246489714834,-73.7805470372618
46265,64 STREET at HICKS DRIVE,64 STREET,HICKS DRIVE,,Queens,40.74344768948723,-73.90090043656362
58488,172 STREET at JEWEL AVENUE,172 STREET,JEWEL AVENUE,,Queens,40.731393902040615,-73.79775682720394
55283,165 STREET at JEWEL AVENUE,165 STREET,JEWEL AVENUE,,Queens,40.73164198770745,-73.8040666606258
