source_element_key,blockface,side,capacity,area,subarea,category,time_limit_min,lat,lng
1229,10TH AVE BETWEEN E MADISON ST AND E SENECA ST,W,6,Pike-Pine,,Paid Parking,120,47.61196395,-122.31945954
1230,10TH AVE BETWEEN E MADISON ST AND E SENECA ST,E,3,Pike-Pine,,Paid Parking,120,47.6120071,-122.31924265
1233,10TH AVE BETWEEN E PIKE ST AND E PINE ST,W,6,Pike-Pine,,Paid Parking,120,47.61468219,-122.31955777
1234,10TH AVE BETWEEN E PIKE ST AND E PINE ST,E,16,Pike-Pine,,Paid Parking,120,47.614681,-122.31934691
69089,10TH AVE BETWEEN E SENECA ST AND E UNION ST,W,8,Pike-Pine,,Paid Parking,240,47.6125547,-122.31950293
69090,10TH AVE BETWEEN E SENECA ST AND E UNION ST,E,6,Pike-Pine,,Paid Parking,120,47.61255196,-122.31929557
69093,10TH AVE BETWEEN E UNION ST AND E PIKE ST,W,7,Pike-Pine,,Paid Parking,120,47.61351753,-122.31955025
69094,10TH AVE BETWEEN E UNION ST AND E PIKE ST,E,5,Pike-Pine,,Paid Parking,120,47.61349811,-122.31932705
24417,11TH AVE BETWEEN E HOWELL ST AND E DENNY WAY,W,28,Capitol Hill,South,Paid Parking,240,47.61813722,-122.31831508
69277,11TH AVE BETWEEN E MADISON ST AND E UNION ST,W,3,Pike-Pine,,Paid Parking,120,47.61259197,-122.31820872
69278,11TH AVE BETWEEN E MADISON ST AND E UNION ST,E,7,Pike-Pine,,Paid Parking,120,47.6126063,-122.31800476
24413,11TH AVE BETWEEN E OLIVE ST AND E HOWELL ST,W,29,Capitol Hill,South,Paid Parking,240,47.61696889,-122.31829651
24405,11TH AVE BETWEEN E PIKE ST AND E PINE ST,W,12,Pike-Pine,,Paid Parking,120,47.61468863,-122.31826395
24406,11TH AVE BETWEEN E PIKE ST AND E PINE ST,E,8,Pike-Pine,,Paid Parking,120,47.6146888,-122.31805311
24409,11TH AVE BETWEEN E PINE ST AND E OLIVE ST,W,23,Capitol Hill,South,Paid Parking,240,47.61587315,-122.31827889
24410,11TH AVE BETWEEN E PINE ST AND E OLIVE ST,E,5,Capitol Hill,South,Paid Parking,240,47.61586246,-122.31805976
69281,11TH AVE BETWEEN E UNION ST AND E PIKE ST,W,2,Pike-Pine,,Paid Parking,120,47.61350928,-122.31824513
69282,11TH AVE BETWEEN E UNION ST AND E PIKE ST,E,3,Pike-Pine,,Paid Parking,120,47.6135165,-122.31800603
24441,11TH AVE NE BETWEEN DEAD END 1 AND NE 41ST ST,W,5,University District,Edge,Paid Parking,240,47.65661606,-122.31677664
24442,11TH AVE NE BETWEEN DEAD END 1 AND NE 41ST ST,E,3,University District,Edge,Paid Parking,240,47.65659997,-122.31662703
69301,11TH AVE NE BETWEEN EASTLAKE AVE NE AND NE 42ND ST,W,4,University District,Edge,Paid Parking,240,47.65791624,-122.31674636
69302,11TH AVE NE BETWEEN EASTLAKE AVE NE AND NE 42ND ST,E,9,University District,Edge,Paid Parking,240,47.65791463,-122.31658407
24445,11TH AVE NE BETWEEN NE 42ND ST AND NE 43RD ST,W,21,University District,Edge,Paid Parking,240,47.65909598,-122.31672966
24446,11TH AVE NE BETWEEN NE 42ND ST AND NE 43RD ST,E,10,University District,Edge,Paid Parking,240,47.6590939,-122.3165552
69305,11TH AVE NE BETWEEN NE 45TH ST AND NE 47TH ST,W,17,University District,Edge,Paid Parking,240,47.66220585,-122.31659916
1433,11TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST,W,15,University District,Edge,Paid Parking,240,47.66400789,-122.31642786
46729,12TH AVE BETWEEN E BARCLAY CT AND E JAMES CT,W,7,12th Avenue,,Paid Parking,120,47.6071051,-122.31688559
46730,12TH AVE BETWEEN E BARCLAY CT AND E JAMES CT,E,3,12th Avenue,,Paid Parking,120,47.60713644,-122.31667478
24553,12TH AVE BETWEEN E CHERRY ST AND E COLUMBIA ST,W,7,12th Avenue,,Paid Parking,120,47.60865499,-122.31688535
24554,12TH AVE BETWEEN E CHERRY ST AND E COLUMBIA ST,E,5,12th Avenue,,Paid Parking,120,47.60863312,-122.31667454
1577,12TH AVE BETWEEN E COLUMBIA ST AND E MARION ST,W,8,12th Avenue,,Paid Parking,120,47.6098122,-122.31688507
1578,12TH AVE BETWEEN E COLUMBIA ST AND E MARION ST,E,6,12th Avenue,,Paid Parking,120,47.60982856,-122.31667425
69437,12TH AVE BETWEEN E JAMES CT AND E CHERRY ST,W,3,12th Avenue,,Paid Parking,120,47.60770872,-122.3168854
46725,12TH AVE BETWEEN E JEFFERSON ST AND E BARCLAY CT,W,5,12th Avenue,,Paid Parking,120,47.60654082,-122.31688577
46726,12TH AVE BETWEEN E JEFFERSON ST AND E BARCLAY CT,E,1,12th Avenue,,Paid Parking,120,47.60653807,-122.31667498
