study_id,compkey,unitid,direction,street_name,title,start_date,end_date,has_geometry
346368,14073,11075,NE,EAST GREEN LAKE WAY N,"EAST GREEN LAKE WAY N, NE/O N 57TH ST; NE FLOW; CHNEB; 02Jan2025 11:15",2025-01-02,2025-01-09,True
346369,14073,11075,SW,EAST GREEN LAKE WAY N,"EAST GREEN LAKE WAY N, NE/O N 57TH ST; SW FLOW; CHSWB; 02Jan2025 11:15",2025-01-02,2025-01-09,True
346370,19223,15130,W,NW MARKET ST,"NW MARKET ST, W/O 8TH AVE NW; W FLOW; CHWB; 02Jan2025 11:30",2025-01-02,2025-01-09,True
346371,20628,16420,E,S LANDER ST,"S LANDER ST, W/O 6TH AVE S; E FLOW; CHEB; 02Jan2025 14:15",2025-01-02,2025-01-09,True
346372,20628,16420,W,S LANDER ST,"S LANDER ST, W/O 6TH AVE S; W FLOW; CHWB; 02Jan2025 13:15",2025-01-02,2025-01-09,True
346373,8782,05095,E,ALKI AVE SW,"ALKI AVE SW, W/O HARBOR AVE SW; E FLOW; CHEB; 02Jan2025 12:45",2025-01-02,2025-01-09,True
346374,8782,05095,W,ALKI AVE SW,"ALKI AVE SW, W/O HARBOR AVE SW; W FLOW; CHWB; 02Jan2025 12:45",2025-01-02,2025-01-09,True
346375,14073,11075,dir_11,EAST GREEN LAKE WAY N,"EAST GREEN LAKE WAY N, NE/O N 57TH ST; TOTAL FLOW; CHAGG; 02Jan2025 11:15",2025-01-02,2025-01-09,True
346377,20628,16420,dir_11,S LANDER ST,"S LANDER ST, W/O 6TH AVE S; TOTAL FLOW; CHAGG; 02Jan2025 14:15",2025-01-02,2025-01-09,True
346379,8782,05095,dir_11,ALKI AVE SW,"ALKI AVE SW, W/O HARBOR AVE SW; TOTAL FLOW; CHAGG; 02Jan2025 12:45",2025-01-02,2025-01-09,True
346381,12312,09315,N,QUEEN ANNE AVE N,"QUEEN ANNE AVE N, S/O CROCKETT ST; N FLOW; CHNB; 02Jan2025 10:30",2025-01-02,2025-01-09,True
346382,12312,09315,dir_11,QUEEN ANNE AVE N,"QUEEN ANNE AVE N, S/O CROCKETT ST; TOTAL FLOW; CHTOT; 02Jan2025 10:30",2025-01-02,2025-01-09,True
346383,10000,06345,E,DENNY WAY,"DENNY WAY, W/O 2ND AVE; E FLOW; CHEB; 02Jan2025 10:30",2025-01-02,2025-01-09,True
346384,10000,06345,W,DENNY WAY,"DENNY WAY, W/O 2ND AVE; W FLOW; CHWB; 02Jan2025 10:30",2025-01-02,2025-01-09,True
346385,12900,09800,SW,STEWART ST,"STEWART ST, NE/O 4TH AVE; SW FLOW; CHSWB; 02Jan2025 10:30",2025-01-02,2025-01-09,True
346386,14348,11275,NE,E MADISON ST,"E MADISON ST, SW/O 17TH AVE; NE FLOW; CHNEB; 02Jan2025 11:30",2025-01-02,2025-01-09,True
346387,14348,11275,SW,E MADISON ST,"E MADISON ST, SW/O 17TH AVE; SW FLOW; CHSWB; 02Jan2025 10:30",2025-01-02,2025-01-09,True
346388,10000,06345,dir_11,DENNY WAY,"DENNY WAY, W/O 2ND AVE; TOTAL FLOW; CHAGG; 02Jan2025 10:30",2025-01-02,2025-01-09,True
346390,12312,09315,S,QUEEN ANNE AVE N,"QUEEN ANNE AVE N, S/O CROCKETT ST; S FLOW; CHAGG; 02Jan2025 10:30",2025-01-02,2025-01-09,True
346392,14348,11275,dir_11,E MADISON ST,"E MADISON ST, SW/O 17TH AVE; TOTAL FLOW; CHAGG; 02Jan2025 11:30",2025-01-02,2025-01-09,True
346394,12578,09480,NW,ROOSEVELT WAY N,"ROOSEVELT WAY N, SE/O MERIDIAN AVE N; NW FLOW; CHNWB; 03Jan2025 12:15",2025-01-03,2025-01-10,True
346395,12578,09480,SE,ROOSEVELT WAY N,"ROOSEVELT WAY N, SE/O MERIDIAN AVE N; SE FLOW; CHSEB; 03Jan2025 12:15",2025-01-03,2025-01-10,True
346396,17040,13375,E,NE 55TH ST,"NE 55TH ST, W/O 25TH AVE NE; E FLOW; CHEB; 03Jan2025 13:30",2025-01-03,2025-01-10,True
346397,17040,13375,W,NE 55TH ST,"NE 55TH ST, W/O 25TH AVE NE; W FLOW; CHWB; 03Jan2025 13:30",2025-01-03,2025-01-10,True
346398,12578,09480,dir_11,ROOSEVELT WAY N,"ROOSEVELT WAY N, SE/O MERIDIAN AVE N; TOTAL FLOW; CHAGG; 03Jan2025 12:15",2025-01-03,2025-01-10,True
346400,17040,13375,dir_11,NE 55TH ST,"NE 55TH ST, W/O 25TH AVE NE; TOTAL FLOW; CHAGG; 03Jan2025 13:30",2025-01-03,2025-01-10,True
346402,8406,04800,N,8TH AVE NW,"8TH AVE NW, S/O NW 80TH ST; N FLOW; CHNB; 07Jan2025 11:00",2025-01-07,2025-01-14,True
346403,8406,04800,S,8TH AVE NW,"8TH AVE NW, S/O NW 80TH ST; S FLOW; CHSB; 07Jan2025 11:00",2025-01-07,2025-01-14,True
346404,18898,14800,E,NW 80TH ST,"NW 80TH ST, W/O 15TH AVE NW; E FLOW; CHEB; 07Jan2025 11:30",2025-01-07,2025-01-14,True
346405,18898,14800,W,NW 80TH ST,"NW 80TH ST, W/O 15TH AVE NW; W FLOW; CHWB; 07Jan2025 11:30",2025-01-07,2025-01-14,True
346406,3605,01485,N,24TH AVE NW,"24TH AVE NW, S/O NW 80TH ST; N FLOW; CHNB; 07Jan2025 11:30",2025-01-07,2025-01-14,True
346407,3605,01485,S,24TH AVE NW,"24TH AVE NW, S/O NW 80TH ST; S FLOW; CHSB; 07Jan2025 12:30",2025-01-07,2025-01-14,True
346408,15264,11975,W,N 145TH ST,"N 145TH ST, W/O LINDEN AVE N; W FLOW; CHWB; 07Jan2025 13:30",2025-01-07,2025-01-14,True
346409,15265,11975,E,N 145TH ST,"N 145TH ST, E/O LINDEN AVE N; E FLOW; CHEB; 07Jan2025 12:30",2025-01-07,2025-01-14,True
346410,5745,02900,N,37TH AVE S,"37TH AVE S, N/O S MYRTLE ST; N FLOW; CHNB; 07Jan2025 15:00",2025-01-07,2025-01-14,True
346411,5745,02900,S,37TH AVE S,"37TH AVE S, N/O S MYRTLE ST; S FLOW; CHSB; 07Jan2025 15:00",2025-01-07,2025-01-14,True
346412,5745,02900,dir_11,37TH AVE S,"37TH AVE S, N/O S MYRTLE ST; TOTAL FLOW; CHAGG; 07Jan2025 15:00",2025-01-07,2025-01-14,True
346414,3189,01170,N,21ST AVE S,"21ST AVE S, N/O S HINDS ST; N FLOW; CHNB; 07Jan2025 13:15",2025-01-07,2025-01-14,True
346415,3189,01170,S,21ST AVE S,"21ST AVE S, N/O S HINDS ST; S FLOW; CHSB; 07Jan2025 13:15",2025-01-07,2025-01-14,True
346416,15373,12030,E,N 38TH ST,"N 38 UPPER ST, W/O AURORA AVE N; E FLOW; CHEB; 07Jan2025 13:15",2025-01-07,2025-01-14,True
