link_id,name,borough
1004,42nd Street - Eastbound - Lexington Ave to 3rd Ave,Manhattan
1011,42nd Street - Westbound - Lexington Ave to Madison Ave,Manhattan
2001,Lexington Avenue - Southbound - 49th St to 42nd St,Manhattan
2012,49th Street - Westbound - Lexington Ave to Madison Ave,Manhattan
3002,Lexington Avenue - Southbound - 57th St to 49th St,Manhattan
3006,57th Street - Eastbound - Lexington Ave to 3rd Ave,Manhattan
3013,57th Street - Westbound - Lexington Ave to Madison Ave,Manhattan
4001,42nd Street - Westbound - 3rd Ave to Lexington Ave,Manhattan
4005,3rd Avenue - Northbound - 42nd St to 49th St,Manhattan
4042,42nd Street - Eastbound - 3rd Ave to 2nd Ave,Manhattan
5002,49th Street - Westbound - 3rd Ave to Lexington Ave,Manhattan
5006,3rd Avenue - Northbound - 49th St to 57th St,Manhattan
6003,57th Street - Westbound - 3rd Ave to Lexington Ave,Manhattan
6055,57th Street - Eastbound - 3rd Ave to 2nd Ave,Manhattan
8011,Madison Avenue - Northbound - 34th St to 42nd St,Manhattan
8020,34th Street - Eastbound - Madison Ave to 3rd Ave,Manhattan
8118,34th Street - Westbound - Madison Ave to 5th Ave,Manhattan
11001,42nd Street - Eastbound - Madison Ave to Lexington Ave,Manhattan
11012,Madison Avenue - Northbound - 42nd St to 49th St,Manhattan
11014,42nd Street - Westbound - Madison Ave to 5th Ave,Manhattan
12013,Madison Avenue - Northbound - 49th St to 57th St,Manhattan
12015,49th Street - Westbound - Madison Ave to 5th Ave,Manhattan
13003,57th Street - Eastbound - Madison Ave to Lexington Ave,Manhattan
13016,57th Street - Eastbound - 5th Ave to Madison Ave,Manhattan
14011,42nd Street - Eastbound - 5th Ave to Madison Ave,Manhattan
14017,42nd Street - Westbound - 5th Ave to 6th Ave,Manhattan
14118,5th Avenue - Southbound - 42nd St to 34th St,Manhattan
15014,5th Avenue - Southbound - 49th St to 42th St,Manhattan
15018,49th Street - Westbound - 5th Ave to 6th Ave,Manhattan
16013,57th Street - Westbound - Madison Ave to 5th Ave,Manhattan
16015,5th Avenue - Southbound - 57th St to 49th St,Manhattan
16019,57th Street - Westbound - 5th Ave to 6th Ave,Manhattan
17014,42nd Street - Eastbound - 6th Ave to 5th Ave,Manhattan
17018,6th Avenue - Northbound - 42nd St to 49th St,Manhattan
17059,42nd Street - Westbound - 6th Ave to 7th Ave,Manhattan
18019,6th Avenue - Northbound - 49th St to 57th St,Manhattan
18037,49th Street - Westbound - 6th Ave to 7th Ave,Manhattan
19016,57th Street - Eastbound - 6th Ave to 5th Ave,Manhattan
19056,57th Street - Westbound - 6th Ave to 7th Ave,Manhattan
20004,3rd Avenue - Northbound - 34th St to 42nd St,Manhattan
20008,34th Street - Westbound - 3rd Ave to Madison Ave,Manhattan
20103,34th Street - Eastbound - 3rd Ave to 2nd Ave,Manhattan
21003,Lexington Avenue - Southbound - 72nd St to 57th St,Manhattan
21022,72nd Street - Westbound - Lexington Ave to 5th Ave,Manhattan
21193,72nd Street - Eastbound - Lexington Ave to 2nd Ave,Manhattan
22016,5th Avenue - Southbound - 72nd St to 57th St,Manhattan
22021,72nd Street - Eastbound - 5th Ave to Lexington Ave,Manhattan
23017,6th Avenue - Northbound - 34th St to 42nd St,Manhattan
23060,34th Street - Westbound - 6th Ave to 7th Ave,Manhattan
23118,34th Street - Eastbound - 6th Ave to 5th Ave,Manhattan
24026,Belt Pkwy - Westbound - Cross Bay Blvd to Pennsylvania Ave,Brooklyn
25035,Belt Pkwy - Westbound - Ocean Pkwy to Bay 8th St,Brooklyn
26034,Belt Pkwy - Westbound - Erskine St to Flatbush Ave,Queens
27034,Belt Pkwy - Eastbound - Ocean Pkwy to Flatbush,Brooklyn
28029,Belt Pkwy - Eastbound - Pennsylvania Ave to Cross Bay Blvd,Brooklyn
29150,Belt Pkwy EB @ Cross Bay Blvd - Rockaway Blvd @ Farmers Blvd,Queens
30171,Henry Hudson Pkwy - Northbound - 57th St to 79th St,Manhattan
33024,Belt Pkwy - Westbound - East of JFK to Crossbay Blvd.,Queens
34025,Belt Pkwy - Westbound - Flatbush Ave to Ocean Pkwy,Brooklyn
34028,Belt Pkwy - Eastbound - Flatbush Ave to Erskine St,Brooklyn
35027,Belt Pkwy - Eastbound - Bay 8th St to Ocean Pkwy,Brooklyn
35202,Belt Pkwy - Westbound - Bay 8th St to 68th St,Brooklyn
37038,49th Street - Westbound - 7th Ave to 8th Ave,Manhattan
37059,7th Avenue - Southbound - 49th St to 42nd St,Manhattan
38039,49th Street - Westbound - 8th Ave to 9th Ave,Manhattan
38054,8th Avenue - Northbound - 49th St to 57th St,Manhattan
39049,9th Avenue - Southbound - 49th St to 42nd St,Manhattan
39085,49th Street - Westbound - 9th Ave to 10th Ave,Manhattan
40041,1st Avenue - Northbound - 49th St to 57th St,Manhattan
40046,49th Street - Westbound - 1st Ave to 2nd Ave,Manhattan
41203,57th St - westbound - 1 Ave to QBB UL Entrance,Manhattan
42004,42nd Street - Westbound - 2nd Ave to 3rd Ave,Manhattan
42048,42nd Street - Eastbound - 2nd Ave to 1st Ave,Manhattan
42103,2nd Avenue -  Southbound - 42nd St to 34th St,Manhattan
43051,72nd Street - Westbound - Columbus Ave (9th Ave) to Broadway,Manhattan
43058,9th Avenue - Southbound - 72nd St to 57th St,Manhattan
44020,3rd Avenue - Northbound - 23rd St to 34th St,Manhattan
44105,23rd Street - Eastbound - 3rd Ave to 2nd Ave,Manhattan
44204,23rd Street- westbound - 3 ave to madison ave,Manhattan
45102,1st Avenue - Northbound - 23rd St to 34th St,Manhattan
45105,23rd Street - Westbound - 1st Ave to 2nd Ave,Manhattan
46005,49th Street - Westbound - 2nd Ave to 3rd Ave,Manhattan
46042,2nd Avenue - Southbound - 49th St to 42nd St,Manhattan
47023,6th Avenue - Northbound - 23rd St to 34th ST,Manhattan
47106,23rd Street - Westbound - 6th Ave to 7th Ave,Manhattan
47204,23rd Street - eastbound - 6 ave to madison ave,Manhattan
48040,1st Avenue - Northbound - 42nd St to 49th St,Manhattan
48042,42nd Street - Westbound - 1st Ave to 2nd Ave,Manhattan
49053,42nd Street - Eastbound - 9th Ave to 8th Ave,Manhattan
49109,42nd Street - Westbound - 9th Ave to 10th Ave,Manhattan
49119,9th Avenue - Southbound - 42nd St to 37th St,Manhattan
50057,8th Avenue - Northbound - 23rd St to 34th St,Manhattan
