station_id,name,borough,lat,lng
328,WTC Cortlandt (1),Manhattan,40.711834,-74.01219
442,Eastchester-Dyre Av (5),Bronx,40.8883,-73.83083
373,E 149 St (6),Bronx,40.81212,-73.9041
280,Jamaica-Van Wyck (E),Queens,40.702564,-73.81686
458,46 St-Bliss St (7),Queens,40.743134,-73.918434
203,"Rockaway Park-Beach 116 St (A,S)",Queens,40.580902,-73.835594
356,"Church Av (2,5)",Brooklyn,40.650845,-73.94958
120,Bedford Av (L),Brooklyn,40.717304,-73.95687
235,York St (F),Brooklyn,40.701397,-73.98675
416,Wakefield-241 St (2),Bronx,40.903126,-73.85062
368,Morrison Av-Soundview (6),Bronx,40.82952,-73.87452
327,"Chambers St (1,2,3)",Manhattan,40.715477,-74.00927
312,79 St (1),Manhattan,40.783936,-73.97992
371,Hunts Point Av (6),Bronx,40.82095,-73.89055
246,Avenue I (F),Brooklyn,40.62532,-73.97613
450,103 St-Corona Plaza (7),Queens,40.749866,-73.8627
46,Cortelyou Rd (Q),Brooklyn,40.640926,-73.96389
165,"23 St (C,E)",Manhattan,40.745907,-73.99804
125,Morgan Av (L),Brooklyn,40.706154,-73.93314
45,Beverley Rd (Q),Brooklyn,40.64403,-73.96449
313,"72 St (1,2,3)",Manhattan,40.778454,-73.98197
620,"Borough Hall/Court St (2,3,4,5,R)",Brooklyn,40.69324,-73.99064
635,"Whitehall St-South Ferry (1,R,W)",Manhattan,40.702576,-74.01333
603,"149 St-Grand Concourse (2,4,5)",Bronx,40.818394,-73.92703
265,"Grand Av-Newtown (M,R)",Queens,40.737015,-73.87722
77,Kings Hwy (N),Brooklyn,40.603924,-73.980354
95,"Gates Av (J,Z)",Brooklyn,40.68963,-73.92227
621,"Broadway Junction (A,C,J,Z,L)",Brooklyn,40.678898,-73.90436
247,Bay Pkwy (F),Brooklyn,40.62077,-73.975266
333,"Wall St (2,3)",Manhattan,40.70682,-74.0091
222,Roosevelt Island (M),Manhattan,40.759144,-73.95326
348,Rockaway Av (3),Brooklyn,40.662548,-73.90894
360,Pelham Bay Park (6),Bronx,40.852463,-73.82812
337,"Nevins St (2,3,4,5)",Brooklyn,40.688248,-73.98049
14,"23 St (R,W)",Manhattan,40.741302,-73.98934
370,Whitlock Av (6),Bronx,40.826527,-73.886284
429,"Freeman St (2,5)",Bronx,40.829994,-73.89187
463,Hunters Point Av (7),Queens,40.742214,-73.94891
475,96 St (Q),Manhattan,40.784317,-73.94715
353,"President St-Medgar Evers College (2,5)",Brooklyn,40.667885,-73.95068
258,"Briarwood (E,F)",Queens,40.70918,-73.82057
447,Flushing-Main St (7),Queens,40.7596,-73.83003
277,"7 Av (E,B,D)",Manhattan,40.762863,-73.981636
164,"34 St-Penn Station (A,C,E)",Manhattan,40.75229,-73.99339
455,69 St (7),Queens,40.746326,-73.8964
279,"Sutphin Blvd-Archer Av-JFK Airport (E,J,Z)",Queens,40.700485,-73.80797
113,Knickerbocker Av (M),Brooklyn,40.698666,-73.91971
17,"Prince St (R,W)",Manhattan,40.72433,-73.9977
146,181 St (A),Manhattan,40.851696,-73.937965
237,"Carroll St (F,G)",Brooklyn,40.6803,-73.99505
124,Montrose Av (L),Brooklyn,40.70774,-73.93985
261,"Forest Hills-71 Av (E,F,M,R)",Queens,40.72169,-73.84452
68,Bay Pkwy (D),Brooklyn,40.601875,-73.99373
350,Pennsylvania Av (3),Brooklyn,40.664635,-73.8949
131,Bushwick Av-Aberdeen St (L),Brooklyn,40.68283,-73.90525
636,"Jay St-MetroTech (A,C,F,R)",Brooklyn,40.69226,-73.98664
84,85 St-Forest Pkwy (J),Queens,40.692436,-73.86001
232,2 Av (F),Manhattan,40.7234,-73.98994
209,Far Rockaway-Mott Av (A),Queens,40.603996,-73.7554
264,"Woodhaven Blvd (M,R)",Queens,40.733105,-73.86923
